vehicle_type,problem_description,diagnosis,first_aid,second_aid,third_aid
mobil,mesin mati,aki tekor,Periksa koneksi kabel aki dan pastikan tidak longgar,Bersihkan terminal aki dari korosi,Jumper aki atau ganti aki baru
motor,lampu tidak nyala,konslet pada kabel lampu,Periksa kabel lampu apakah ada yang putus,Ganti sekring lampu jika putus,Bawa ke bengkel untuk pemeriksaan rangkaian listrik
mobil,mesin overheat,radiator bocor,Periksa level air radiator dan isi jika kurang,Tambal kebocoran radiator dengan sealant sementara,Ganti radiator di bengkel
motor,ban kempes,ban bocor,Periksa ban untuk menemukan lubang,Tambal ban dengan kit tambal ban sementara,Ganti ban dalam atau luar di bengkel
mobil,rem blong,minyak rem habis,Periksa level minyak rem di reservoir,Isi ulang minyak rem dengan tipe yang sesuai,Periksa kebocoran sistem rem di bengkel
motor,mesin bergetar hebat,kopling aus,Periksa kondisi kopling saat mesin hidup,Setel kopling untuk mengurangi getaran,Ganti pelat kopling di bengkel
mobil,ac tidak dingin,gas freon habis,Periksa tekanan freon di sistem AC,Isi ulang freon di bengkel AC,Ganti kompresor AC jika masih tidak dingin
motor,starter tidak berfungsi,starter motor lemah,Periksa aki motor dan pastikan terisi penuh,Ganti relay starter jika rusak,Bawa ke bengkel untuk perbaikan starter motor
mobil,suara berdecit saat rem,kanvas rem aus,Periksa keausan kanvas rem,Ganti kanvas rem dengan yang baru,Periksa cakram rem untuk kerusakan lebih lanjut
motor,mesin sulit menyala,busi kotor,Periksa dan bersihkan busi,Ganti busi jika sudah aus,Bawa ke bengkel untuk pemeriksaan sistem pengapian
mobil,mesin tersendat,bahan bakar kotor,Periksa filter bahan bakar,Cuci tangki bahan bakar,Ganti pompa bahan bakar di bengkel
motor,stang bergetar,roda tidak seimbang,Periksa tekanan angin ban dan sesuaikan,Balance roda di bengkel,Ganti pelek jika bengkok
mobil,klakson tidak bunyi,sekring klakson putus,Periksa sekring klakson di kotak sekring,Ganti sekring klakson dengan yang baru,Periksa kabel klakson di bengkel
motor,mesin mati saat idle,karburator kotor,Setel idle pada karburator,Bersihkan karburator dengan cairan pembersih,Ganti karburator jika rusak parah
mobil,wiper tidak berfungsi,motor wiper rusak,Periksa sekring wiper,Ganti sekring wiper jika putus,Bawa ke bengkel untuk ganti motor wiper
motor,rem kurang pakem,kampas rem aus,Periksa ketebalan kampas rem,Ganti kampas rem dengan yang baru,Periksa tromol rem untuk kerusakan
mobil,mesin berasap putih,oli bocor ke ruang bakar,Periksa level oli mesin,Kurangi oli jika berlebih,Bawa ke bengkel untuk perbaikan seal mesin
motor,lampu redup,alternator lemah,Periksa output alternator dengan multimeter,Ganti regulator tegangan,Bawa ke bengkel untuk perbaikan alternator
mobil,kemudi berat,pompa power steering lemah,Periksa level cairan power steering,Isi ulang cairan power steering,Ganti pompa power steering di bengkel
motor,rantai berisik,rantai kendor,Setel kekencangan rantai,Lumasi rantai dengan pelumas khusus,Ganti rantai dan gir di bengkel
mobil,mesin tidak bertenaga,filter udara kotor,Periksa filter udara dan bersihkan,Ganti filter udara jika sangat kotor,Bawa ke bengkel untuk pemeriksaan sistem bahan bakar
motor,ban selip di jalan basah,ban aus,Periksa kedalaman alur ban,Ganti ban dengan pola alur yang sesuai,Bawa ke bengkel untuk pemeriksaan suspensi
mobil,mesin bergetar saat idle,sensor idle rusak,Periksa koneksi sensor idle,Reset ECU dengan alat scan,Bawa ke bengkel untuk ganti sensor idle
motor,starter berbunyi tapi mesin tidak hidup,bendix starter aus,Periksa bendix starter,Ganti bendix starter,Bawa ke bengkel untuk pemeriksaan sistem starter
mobil,ac berbau tidak sedap,filter kabin kotor,Periksa dan bersihkan filter kabin,Ganti filter kabin dengan yang baru,Lakukan pembersihan sistem AC di bengkel
motor,mesin mati saat gas ditarik,filter bahan bakar tersumbat,Periksa filter bahan bakar,Ganti filter bahan bakar,Bawa ke bengkel untuk pemeriksaan pompa bahan bakar
mobil,lampu sein tidak menyala,flasher rusak,Periksa flasher di kotak sekring,Ganti flasher dengan yang baru,Periksa kabel sein di bengkel
motor,shockbreaker bocor,seal shockbreaker rusak,Periksa kebocoran oli pada shockbreaker,Ganti seal shockbreaker,Ganti shockbreaker di bengkel
mobil,mesin sulit distarter pagi hari,busi aus,Periksa busi dan bersihkan,Ganti busi dengan yang baru,Bawa ke bengkel untuk pemeriksaan sistem pengapian
motor,mesin overheat,kipas radiator mati,Periksa koneksi kipas radiator,Ganti sekring kipas radiator,Bawa ke bengkel untuk ganti motor kipas
mobil,ban bergetar di kecepatan tinggi,roda tidak seimbang,Periksa tekanan angin ban dan sesuaikan,Lakukan balancing roda di bengkel,Ganti pelek jika bengkok
motor,lampu rem tidak menyala,switch rem rusak,Periksa switch rem pada tuas,Ganti switch rem,Bawa ke bengkel untuk pemeriksaan kabel rem
mobil,suara gemeretak saat belok,CV joint aus,Periksa boot CV joint untuk kebocoran gemuk,Ganti gemuk CV joint,Ganti CV joint di bengkel
motor,mesin boros bahan bakar,karburator tidak seimbang,Setel karburator untuk campuran udara-bahan bakar,Bersihkan karburator secara menyeluruh,Ganti karburator di bengkel
mobil,mesin mati saat AC dinyalakan,kompresor AC macet,Periksa sekring kompresor AC,Ganti sekring kompresor AC,Bawa ke bengkel untuk perbaikan kompresor AC
motor,rem berdecit,kampas rem kotor,Periksa kampas rem dan bersihkan,Ganti kampas rem jika aus,Periksa tromol rem untuk kerusakan
mobil,mesin berasap hitam,penyemprotan injektor kotor,Periksa filter udara dan ganti jika kotor,Bersihkan injektor dengan cairan pembersih,Bawa ke bengkel untuk servis injektor
motor,mesin tersendat saat digas,selang bahan bakar tersumbat,Periksa selang bahan bakar,Ganti selang bahan bakar,Bawa ke bengkel untuk pemeriksaan sistem bahan bakar
