anchor,positive,negative
"Bagaimana cara booking servis mobil?","Gimana sih cara pesen servis mobil?","Kenapa mesin mobil saya bunyi aneh?"
"Di mana saya bisa booking servis motor?","Tempat booking servis motor di mana ya?","Apa penyebab ban motor kempes terus?"
"Bisa tolong arahkan ke booking servis?","Tolong bantu arahkan untuk pesan servis.","Berapa biaya ganti oli motor?"
"Saya mau booking servis mobil, gimana caranya?","Cara booking servis mobil gimana?","Kenapa AC mobil ga dingin?"
"Bengkel mana yang bisa saya booking untuk servis?","Bengkel apa yang tersedia untuk booking servis?","Apa fungsi filter udara pada mobil?"
"Mohon informasikan cara untuk memesan servis kendaraan.","Tolong kasih tahu cara booking servis kendaraan.","Kenapa lampu dashboard mobil nyala?"
"Bagaimana saya bisa mencari bengkel terdekat?","Gimana caranya nyari bengkel yang deket?","Apa penyebab motor susah distarter?"
"Saya butuh booking servis motor, tolong arahkan.","Tolong arahkan untuk booking servis motor.","Berapa harga kampas rem motor?"
"Apakah ada slot tersedia untuk servis minggu ini?","Masih ada slot buat servis minggu ini ga?","Kenapa mesin motor bunyi ketuk-ketuk?"
"Saya ingin booking servis mobil untuk besok.","Mau pesen servis mobil buat besok.","Apa penyebab rem mobil bunyi berdecit?"
"Di mana saya bisa booking servis motor matic?","Tempat booking servis motor matic di mana?","Kenapa ban mobil aus sebelah?"
"Tolong bantu saya booking servis kendaraan.","Bisa tolong bookingin servis kendaraan?","Apa itu sistem ABS pada mobil?"
"Saya mau cari bengkel yang buka hari Minggu.","Gimana cara nyari bengkel yang buka Minggu?","Kenapa motor ga stabil pas ngebut?"
"Bagaimana cara pesan servis mobil online?","Cara booking servis mobil lewat online gimana?","Apa penyebab AC mobil ga dingin pas macet?"
"Saya butuh booking servis motor segera.","Tolong arahkan untuk booking servis motor cepat.","Berapa biaya servis rutin motor?"
"Apakah bengkel ini menerima booking untuk servis besar?","Bengkel ini bisa booking buat servis besar ga?","Kenapa mesin mobil overheat?"
"Saya ingin booking servis mobil di bengkel resmi.","Mau pesen servis mobil di dealer resmi.","Apa fungsi catalytic converter pada mobil?"
"Di mana saya bisa booking servis motor dengan harga murah?","Tempat booking servis motor yang murah di mana?","Kenapa ban motor bunyi decit pas belok?"
"Tolong arahkan ke bengkel yang bisa booking servis mobil.","Bisa kasih tahu bengkel yang bisa booking servis mobil?","Apa penyebab lampu sein motor ga nyala?"
"Saya mau booking servis motor untuk ganti oli.","Cara booking servis motor buat ganti oli gimana?","Kenapa rem motor blong pas hujan?"
"Bagaimana cara mencari bengkel yang buka 24 jam?","Gimana caranya nyari bengkel yang buka seharian?","Apa penyebab mesin motor mati mendadak?"
"Saya butuh booking servis mobil untuk perbaikan rem.","Tolong arahkan untuk booking servis rem mobil.","Berapa harga oli mesin mobil?"
"Apakah ada bengkel yang bisa booking servis motor matic?","Bengkel mana yang bisa booking servis motor matic?","Kenapa AC mobil bunyi kresek-kresek?"
"Saya ingin booking servis mobil untuk tune-up.","Mau pesen servis mobil buat tune-up.","Apa penyebab ban mobil geter pas ngebut?"
"Di mana saya bisa booking servis motor untuk ganti ban?","Tempat booking servis motor buat ganti ban di mana?","Kenapa lampu dashboard motor nyala tanda check engine?"
"Tolong bantu saya booking servis kendaraan untuk minggu depan.","Bisa tolong bookingin servis kendaraan minggu depan?","Apa fungsi sensor O2 pada mobil?"
"Saya mau cari bengkel yang bisa booking servis mobil diesel.","Gimana cara nyari bengkel yang bisa booking servis diesel?","Kenapa motor bunyi aneh dari rantai?"
"Bagaimana cara pesan servis motor lewat aplikasi?","Cara booking servis motor via app gimana?","Apa penyebab rem mobil ga pakem?"
"Saya butuh booking servis mobil untuk ganti kampas rem.","Tolong arahkan untuk booking ganti kampas rem mobil.","Berapa biaya servis injeksi motor?"
"Apakah bengkel ini buka untuk booking servis hari ini?","Bengkel ini masih buka buat booking servis hari ini ga?","Kenapa mesin mobil bunyi tik-tik?"
"Saya ingin booking servis motor di bengkel terdekat.","Mau pesen servis motor di bengkel yang deket.","Apa penyebab ban motor kempes terus?"
"Di mana saya bisa booking servis mobil untuk spooring?","Tempat booking servis mobil buat spooring di mana?","Kenapa lampu rem motor ga nyala?"
"Tolong arahkan ke bengkel yang menerima booking servis motor.","Bisa kasih tahu bengkel yang bisa booking servis motor?","Apa fungsi alternator pada mobil?"
"Saya mau booking servis mobil untuk ganti oli mesin.","Cara booking servis mobil buat ganti oli gimana?","Kenapa motor susah nyala pas dingin?"
"Bagaimana cara mencari bengkel yang spesialis AC mobil?","Gimana caranya nyari bengkel khusus AC mobil?","Apa penyebab ban mobil bunyi gluduk?"
"Saya butuh booking servis motor untuk perbaikan mesin.","Tolong arahkan untuk booking servis mesin motor.","Berapa harga kampas kopling motor?"
"Apakah ada bengkel yang bisa booking servis mobil listrik?","Bengkel mana yang bisa booking servis mobil listrik?","Kenapa AC mobil ga dingin pas siang?"
"Saya ingin booking servis motor untuk ganti kampas rem.","Mau pesen servis motor buat ganti kampas rem.","Apa penyebab mesin motor bunyi ngorok?"
"Di mana saya bisa booking servis mobil untuk servis rutin?","Tempat booking servis mobil buat servis rutin di mana?","Kenapa ban motor geter pas jalan pelan?"
