anchor,positive,negative
"Berapa harga oli mesin mobil di bengkel resmi?","Harga oli mesin mobil di dealer resmi berapa ya?","Apa penyebab mesin motor bunyi ketuk-ketuk?"
"Di mana bisa beli ban motor tubeless murah?","Tempat beli ban motor tubeless yang harganya terjangkau di mana?","Kenapa AC mobil ga dingin sama sekali?"
"Berapa biaya servis rutin motor matic?","Harga servis rutin buat motor matic berapa?","Apa itu sistem injeksi pada mobil?"
"Apa fungsi filter udara pada mobil?","Filter udara di mobil itu gunanya apa sih?","Kenapa lampu sein motor ga nyala?"
"Harga kampas rem mobil Avanza berapa?","Berapa harga kampas rem buat Avanza?","Apa penyebab motor susah distarter pagi?"
"Berapa biaya ganti aki motor di bengkel?","Harga ganti aki motor di bengkel berapa?","Kenapa mobil overheat pas di tol?"
"Di mana bisa servis AC mobil yang bagus?","Bengkel mana yang recommended buat servis AC mobil?","Apa penyebab knalpot motor keluar asap putih?"
"Harga busi motor matic berapa di toko sparepart?","Busi buat motor matic harganya berapa di toko?","Kenapa rem mobil bunyi berdecit?"
"Apa itu timing belt pada mobil?","Timing belt di mobil itu apa ya?","Apa penyebab motor goyang pas ngebut?"
"Berapa biaya spooring dan balancing mobil?","Harga spooring sama balancing mobil berapa?","Kenapa mesin motor mati sendiri?"
"Di mana beli rantai motor yang ori?","Tempat beli rantai motor asli di mana?","Apa penyebab lampu dashboard mobil nyala?"
"Harga oli gardan motor matic berapa?","Berapa harga oli gardan buat motor matic?","Kenapa mobil tarikannya lelet?"
"Apa fungsi shockbreaker pada motor?","Shockbreaker motor itu gunanya apa?","Apa penyebab AC mobil bau apek?"
"Berapa biaya ganti kampas kopling motor?","Harga ganti kampas kopling motor berapa?","Kenapa motor bunyi aneh dari mesin?"
"Di mana bisa servis rem mobil dengan harga murah?","Bengkel servis rem mobil yang murah di mana?","Apa penyebab ban motor kempes terus?"
"Harga filter oli mobil berapa di bengkel resmi?","Berapa harga filter oli mobil di dealer?","Kenapa klakson mobil ga bunyi?"
"Apa itu master rem pada mobil?","Master rem di mobil itu apa sih?","Apa penyebab motor susah nyala pas hujan?"
"Berapa biaya servis injeksi motor?","Harga servis injeksi buat motor berapa?","Kenapa mobil geter pas ngerem?"
"Di mana beli lampu LED motor yang bagus?","Tempat beli lampu LED motor kualitas oke di mana?","Apa penyebab asap knalpot mobil hitam?"
"Harga ban mobil ukuran 17 inch berapa?","Berapa harga ban mobil ring 17?","Kenapa mesin motor panas banget?"
"Apa fungsi alternator pada mobil?","Alternator di mobil itu gunanya apa?","Apa penyebab rem motor blong?"
"Berapa biaya ganti oli transmisi mobil?","Harga ganti oli transmisi mobil berapa?","Kenapa lampu rem motor ga nyala?"
"Di mana bisa beli kampas rem motor matic?","Tempat beli kampas rem motor matic di mana?","Apa penyebab mobil bunyi gluduk dari kolong?"
"Harga aki mobil 60 ampere berapa?","Berapa harga aki mobil 60Ah?","Kenapa motor ga stabil pas belok?"
"Apa itu catalytic converter pada mobil?","Catalytic converter di mobil itu apa ya?","Apa penyebab AC mobil ga dingin pas macet?"
"Berapa biaya servis radiator mobil?","Harga servis radiator mobil berapa?","Kenapa motor bunyi kletak dari rantai?"
"Di mana beli filter bensin motor yang murah?","Tempat beli filter bensin motor harga terjangkau di mana?","Apa penyebab mobil mati mendadak?"
"Harga oli mesin motor 10W-40 berapa?","Berapa harga oli motor 10W-40?","Kenapa shockbreaker motor bocor?"
"Apa fungsi throttle body pada mobil?","Throttle body di mobil itu gunanya apa?","Apa penyebab lampu sein mobil ga nyala?"
"Berapa biaya ganti ban motor tubeless?","Harga ganti ban motor tubeless berapa?","Kenapa mesin mobil bunyi tik-tik?"
"Di mana servis karburator motor yang bagus?","Bengkel servis karburator motor yang oke di mana?","Apa penyebab motor tarikannya lelet?"
"Harga kampas rem motor bebek berapa?","Berapa harga kampas rem buat motor bebek?","Kenapa AC mobil bunyi kresek-kresek?"
"Apa itu sistem ABS pada mobil?","Sistem ABS di mobil itu apa sih?","Apa penyebab ban mobil aus sebelah?"
"Berapa biaya servis rutin mobil di bengkel resmi?","Harga servis rutin mobil di dealer berapa?","Kenapa motor susah masuk gigi?"
"Di mana beli busi mobil yang ori?","Tempat beli busi mobil asli di mana?","Apa penyebab mobil bau bensin di kabin?"
"Harga oli power steering mobil berapa?","Berapa harga oli power steering buat mobil?","Kenapa rem mobil ga pakem?"
"Apa fungsi sensor O2 pada mobil?","Sensor O2 di mobil itu gunanya apa?","Apa penyebab motor bunyi ngorok dari mesin?"
"Berapa biaya ganti filter udara mobil?","Harga ganti filter udara mobil berapa?","Kenapa lampu dashboard motor nyala?"
"Di mana bisa servis suspensi motor?","Bengkel servis suspensi motor di mana?","Apa penyebab mobil geter pas idle?"
"Harga ban motor ukuran 14 inch berapa?","Berapa harga ban motor ring 14?","Kenapa mesin motor mati pas langsam?"
"Apa itu water pump pada mobil?","Water pump di mobil itu apa ya?","Apa penyebab AC mobil ga nyala?"
"Berapa biaya ganti rantai motor?","Harga ganti rantai motor berapa?","Kenapa ban motor bunyi decit pas belok?"
"Di mana beli aki motor yang tahan lama?","Tempat beli aki motor awet di mana?","Apa penyebab mobil bunyi kletuk dari mesin?"
"Harga filter kabin mobil berapa?","Berapa harga filter kabin buat mobil?","Kenapa motor ga kuat nanjak?"
"Apa fungsi clutch pada motor?","Clutch di motor itu gunanya apa?","Apa penyebab lampu rem mobil redup?"
"Berapa biaya servis rem motor?","Harga servis rem motor berapa?","Kenapa mesin mobil bunyi ngorok?"
"Di mana servis power steering mobil yang murah?","Bengkel servis power steering mobil yang terjangkau di mana?","Apa penyebab motor bunyi kletek dari roda?"
"Harga oli transmisi motor matic berapa?","Berapa harga oli transmisi buat motor matic?","Kenapa AC mobil bau oli?"
"Apa itu differential pada mobil?","Differential di mobil itu apa sih?","Apa penyebab ban mobil geter pas ngebut?"
"Berapa biaya ganti lampu depan mobil?","Harga ganti lampu depan mobil berapa?","Kenapa motor susah nyala pas dingin?"
"Di mana beli shockbreaker motor aftermarket?","Tempat beli shockbreaker motor non-ori di mana?","Apa penyebab mobil tarik ke kiri?"
