vehicle_type,problem_description,diagnosis,first_aid,second_aid,third_aid
motor,mesin mati total,aki tekor,"Coba periksa apakah aki tekor. Jika memungkinkan, bersihkan atau perbaiki sendiri menggunakan alat dasar. Pastikan kendaraan dalam keadaan mati dan aman sebelum mulai melakukan pengecekan. Misalnya, jika mesin mati total, cek sambungan kabel dan terminalnya.","Jika langkah pertama belum berhasil, disarankan untuk mengganti komponen yang dicurigai rusak. Misalnya, jika aki tekor, pertimbangkan mengganti komponen tersebut dengan yang baru dan sesuai spesifikasi kendaraan Anda.","Jika masalah tetap belum terselesaikan, segera bawa kendaraan ke bengkel resmi atau mekanik terpercaya. Jelaskan bahwa mesin mati total, dan sebutkan bahwa Anda telah mencurigai aki tekor. Hal ini akan membantu teknisi mempercepat proses diagnosis dan perbaikan."
mobil,lampu rem mati,bohlam rem putus,"Coba periksa apakah bohlam rem putus. Jika memungkinkan, bersihkan atau perbaiki sendiri menggunakan alat dasar. Pastikan kendaraan dalam keadaan mati dan aman sebelum mulai melakukan pengecekan. Misalnya, jika lampu rem mati, cek sambungan kabel dan terminalnya.","Jika langkah pertama belum berhasil, disarankan untuk mengganti komponen yang dicurigai rusak. Misalnya, jika bohlam rem putus, pertimbangkan mengganti komponen tersebut dengan yang baru dan sesuai spesifikasi kendaraan Anda.","Jika masalah tetap belum terselesaikan, segera bawa kendaraan ke bengkel resmi atau mekanik terpercaya. Jelaskan bahwa lampu rem mati, dan sebutkan bahwa Anda telah mencurigai bohlam rem putus. Hal ini akan membantu teknisi mempercepat proses diagnosis dan perbaikan."
mobil,motor bergetar saat kecepatan tinggi,ban tidak seimbang,"Coba periksa apakah ban tidak seimbang. Jika memungkinkan, bersihkan atau perbaiki sendiri menggunakan alat dasar. Pastikan kendaraan dalam keadaan mati dan aman sebelum mulai melakukan pengecekan. Misalnya, jika motor bergetar saat kecepatan tinggi, cek sambungan kabel dan terminalnya.","Jika langkah pertama belum berhasil, disarankan untuk mengganti komponen yang dicurigai rusak. Misalnya, jika ban tidak seimbang, pertimbangkan mengganti komponen tersebut dengan yang baru dan sesuai spesifikasi kendaraan Anda.","Jika masalah tetap belum terselesaikan, segera bawa kendaraan ke bengkel resmi atau mekanik terpercaya. Jelaskan bahwa motor bergetar saat kecepatan tinggi, dan sebutkan bahwa Anda telah mencurigai ban tidak seimbang. Hal ini akan membantu teknisi mempercepat proses diagnosis dan perbaikan."
motor,motor susah langsam,setelan karburator tidak pas,"Coba periksa apakah setelan karburator tidak pas. Jika memungkinkan, bersihkan atau perbaiki sendiri menggunakan alat dasar. Pastikan kendaraan dalam keadaan mati dan aman sebelum mulai melakukan pengecekan. Misalnya, jika motor susah langsam, cek sambungan kabel dan terminalnya.","Jika langkah pertama belum berhasil, disarankan untuk mengganti komponen yang dicurigai rusak. Misalnya, jika setelan karburator tidak pas, pertimbangkan mengganti komponen tersebut dengan yang baru dan sesuai spesifikasi kendaraan Anda.","Jika masalah tetap belum terselesaikan, segera bawa kendaraan ke bengkel resmi atau mekanik terpercaya. Jelaskan bahwa motor susah langsam, dan sebutkan bahwa Anda telah mencurigai setelan karburator tidak pas. Hal ini akan membantu teknisi mempercepat proses diagnosis dan perbaikan."
motor,lampu indikator check engine menyala,sensor mesin bermasalah,"Coba periksa apakah sensor mesin bermasalah. Jika memungkinkan, bersihkan atau perbaiki sendiri menggunakan alat dasar. Pastikan kendaraan dalam keadaan mati dan aman sebelum mulai melakukan pengecekan. Misalnya, jika lampu indikator check engine menyala, cek sambungan kabel dan terminalnya.","Jika langkah pertama belum berhasil, disarankan untuk mengganti komponen yang dicurigai rusak. Misalnya, jika sensor mesin bermasalah, pertimbangkan mengganti komponen tersebut dengan yang baru dan sesuai spesifikasi kendaraan Anda.","Jika masalah tetap belum terselesaikan, segera bawa kendaraan ke bengkel resmi atau mekanik terpercaya. Jelaskan bahwa lampu indikator check engine menyala, dan sebutkan bahwa Anda telah mencurigai sensor mesin bermasalah. Hal ini akan membantu teknisi mempercepat proses diagnosis dan perbaikan."
motor,kendaraan boros bensin,injektor bahan bakar kotor,"Coba periksa apakah injektor bahan bakar kotor. Jika memungkinkan, bersihkan atau perbaiki sendiri menggunakan alat dasar. Pastikan kendaraan dalam keadaan mati dan aman sebelum mulai melakukan pengecekan. Misalnya, jika kendaraan boros bensin, cek sambungan kabel dan terminalnya.","Jika langkah pertama belum berhasil, disarankan untuk mengganti komponen yang dicurigai rusak. Misalnya, jika injektor bahan bakar kotor, pertimbangkan mengganti komponen tersebut dengan yang baru dan sesuai spesifikasi kendaraan Anda.","Jika masalah tetap belum terselesaikan, segera bawa kendaraan ke bengkel resmi atau mekanik terpercaya. Jelaskan bahwa kendaraan boros bensin, dan sebutkan bahwa Anda telah mencurigai injektor bahan bakar kotor. Hal ini akan membantu teknisi mempercepat proses diagnosis dan perbaikan."
mobil,lampu depan tidak menyala,bohlam putus,"Coba periksa apakah bohlam putus. Jika memungkinkan, bersihkan atau perbaiki sendiri menggunakan alat dasar. Pastikan kendaraan dalam keadaan mati dan aman sebelum mulai melakukan pengecekan. Misalnya, jika lampu depan tidak menyala, cek sambungan kabel dan terminalnya.","Jika langkah pertama belum berhasil, disarankan untuk mengganti komponen yang dicurigai rusak. Misalnya, jika bohlam putus, pertimbangkan mengganti komponen tersebut dengan yang baru dan sesuai spesifikasi kendaraan Anda.","Jika masalah tetap belum terselesaikan, segera bawa kendaraan ke bengkel resmi atau mekanik terpercaya. Jelaskan bahwa lampu depan tidak menyala, dan sebutkan bahwa Anda telah mencurigai bohlam putus. Hal ini akan membantu teknisi mempercepat proses diagnosis dan perbaikan."
motor,motor susah langsam,setelan karburator tidak pas,"Coba periksa apakah setelan karburator tidak pas. Jika memungkinkan, bersihkan atau perbaiki sendiri menggunakan alat dasar. Pastikan kendaraan dalam keadaan mati dan aman sebelum mulai melakukan pengecekan. Misalnya, jika motor susah langsam, cek sambungan kabel dan terminalnya.","Jika langkah pertama belum berhasil, disarankan untuk mengganti komponen yang dicurigai rusak. Misalnya, jika setelan karburator tidak pas, pertimbangkan mengganti komponen tersebut dengan yang baru dan sesuai spesifikasi kendaraan Anda.","Jika masalah tetap belum terselesaikan, segera bawa kendaraan ke bengkel resmi atau mekanik terpercaya. Jelaskan bahwa motor susah langsam, dan sebutkan bahwa Anda telah mencurigai setelan karburator tidak pas. Hal ini akan membantu teknisi mempercepat proses diagnosis dan perbaikan."
mobil,rem tidak pakem,kampas rem habis,"Coba periksa apakah kampas rem habis. Jika memungkinkan, bersihkan atau perbaiki sendiri menggunakan alat dasar. Pastikan kendaraan dalam keadaan mati dan aman sebelum mulai melakukan pengecekan. Misalnya, jika rem tidak pakem, cek sambungan kabel dan terminalnya.","Jika langkah pertama belum berhasil, disarankan untuk mengganti komponen yang dicurigai rusak. Misalnya, jika kampas rem habis, pertimbangkan mengganti komponen tersebut dengan yang baru dan sesuai spesifikasi kendaraan Anda.","Jika masalah tetap belum terselesaikan, segera bawa kendaraan ke bengkel resmi atau mekanik terpercaya. Jelaskan bahwa rem tidak pakem, dan sebutkan bahwa Anda telah mencurigai kampas rem habis. Hal ini akan membantu teknisi mempercepat proses diagnosis dan perbaikan."
mobil,kopling keras,kampas kopling aus,"Coba periksa apakah kampas kopling aus. Jika memungkinkan, bersihkan atau perbaiki sendiri menggunakan alat dasar. Pastikan kendaraan dalam keadaan mati dan aman sebelum mulai melakukan pengecekan. Misalnya, jika kopling keras, cek sambungan kabel dan terminalnya.","Jika langkah pertama belum berhasil, disarankan untuk mengganti komponen yang dicurigai rusak. Misalnya, jika kampas kopling aus, pertimbangkan mengganti komponen tersebut dengan yang baru dan sesuai spesifikasi kendaraan Anda.","Jika masalah tetap belum terselesaikan, segera bawa kendaraan ke bengkel resmi atau mekanik terpercaya. Jelaskan bahwa kopling keras, dan sebutkan bahwa Anda telah mencurigai kampas kopling aus. Hal ini akan membantu teknisi mempercepat proses diagnosis dan perbaikan."
