intent,text
reschedule_booking,Saya mau reschedule booking servis mobil saya ke hari Sabtu.
reschedule_booking,Bisa tolong ubah jadwal bengkel motor saya ke minggu depan?
reschedule_booking,Mohon ganti waktu servis mobil saya ke Senin sore.
reschedule_booking,Saya ingin menjadwalkan ulang booking perbaikan motor ke Jumat.
reschedule_booking,Tolong pindahkan reservasi bengkel saya ke hari Kamis.
reschedule_booking,Apa bisa reschedule booking servis mobil ke akhir pekan ini?
reschedule_booking,Saya ga bisa besok, tolong ubah jadwal servis motor ke Rabu.
reschedule_booking,Mohon atur ulang booking cek mobil saya ke hari Selasa.
reschedule_booking,Bisa bantu ganti jadwal bengkel motor ke minggu berikutnya?
reschedule_booking,Saya mau pindah booking servis mobil ke hari Senin pagi.
reschedule_booking,Tolong reschedule pesanan bengkel saya ke Jumat sore.
reschedule_booking,Apa bisa ubah reservasi servis motor ke hari Minggu?
reschedule_booking,Saya ingin ganti jadwal tune-up mobil ke Kamis pagi.
reschedule_booking,Mohon pindah booking servis motor saya ke hari Rabu.
reschedule_booking,Tolong atur ulang jadwal bengkel saya ke Senin depan.
reschedule_booking,Saya ga bisa datang besok, tolong reschedule mobil ke Sabtu.
reschedule_booking,Bisa tolong ubah pesanan servis motor ke hari Jumat?
reschedule_booking,Mohon ganti booking perbaikan mobil ke minggu depan.
reschedule_booking,Saya mau reschedule reservasi bengkel motor ke Selasa.
reschedule_booking,Tolong pindah jadwal servis mobil saya ke Kamis sore.
reschedule_booking,Apa bisa ganti booking cek motor ke hari Senin?
reschedule_booking,Saya ingin menjadwalkan ulang pesanan bengkel ke Rabu.
reschedule_booking,Mohon ubah booking servis motor ke hari Minggu pagi.
reschedule_booking,Tolong reschedule reservasi bengkel saya ke Jumat pagi.
reschedule_booking,Saya ga jadi besok, tolong pindah booking mobil ke Selasa.
reschedule_booking,Bisa bantu atur ulang jadwal servis motor ke Kamis?
reschedule_booking,Saya mau ganti booking bengkel mobil ke hari Sabtu sore.
reschedule_booking,Tolong ubah pesanan servis motor ke Senin minggu depan.
reschedule_booking,Mohon reschedule booking servis mobil ke hari Rabu pagi.
reschedule_booking,Apa bisa pindah reservasi bengkel ke Jumat sore?
reschedule_booking,Saya ingin ubah jadwal servis motor ke hari Minggu.
reschedule_booking,Tolong ganti booking perbaikan mobil ke Selasa pagi.
reschedule_booking,Saya ga bisa hari ini, tolong reschedule motor ke Kamis.
reschedule_booking,Bisa tolong pindah pesanan bengkel mobil ke Senin?
reschedule_booking,Mohon atur ulang jadwal servis mobil ke Sabtu pagi.
reschedule_booking,Saya mau reschedule booking tune-up motor ke hari Rabu.
reschedule_booking,Tolong ubah reservasi bengkel saya ke Jumat pagi.
reschedule_booking,Apa bisa ganti jadwal servis mobil ke minggu depan?
reschedule_booking,Saya ingin pindah booking perbaikan motor ke Selasa sore.
reschedule_booking,Mohon reschedule pesanan bengkel ke hari Kamis pagi.
reschedule_booking,Tolong ganti jadwal servis motor ke Senin sore.
reschedule_booking,Saya ga jadi Sabtu, tolong ubah booking mobil ke Rabu.
reschedule_booking,Bisa bantu reschedule reservasi bengkel ke Jumat?
reschedule_booking,Saya mau atur ulang jadwal servis mobil ke Minggu pagi.
reschedule_booking,Tolong pindah booking cek motor ke hari Selasa sore.
reschedule_booking,Mohon ubah pesanan bengkel mobil ke Kamis depan.
reschedule_booking,Apa bisa reschedule booking servis motor ke Senin pagi?
reschedule_booking,Saya ingin ganti jadwal bengkel ke hari Sabtu sore.
reschedule_booking,Tolong atur ulang booking perbaikan mobil ke Rabu.
reschedule_booking,Saya ga bisa besok, tolong pindah servis motor ke Jumat.
reschedule_booking,Bisa tolong ubah jadwal bengkel ke hari Minggu?
reschedule_booking,Mohon reschedule booking servis mobil ke Selasa pagi.
reschedule_booking,Saya mau pindah reservasi bengkel motor ke Kamis sore.
reschedule_booking,Tolong ganti jadwal tune-up mobil ke hari Senin.
reschedule_booking,Apa bisa atur ulang pesanan bengkel ke Jumat pagi?
reschedule_booking,Saya ingin ubah booking servis motor ke hari Rabu sore.
reschedule_booking,Mohon pindah jadwal perbaikan mobil ke Minggu depan.
reschedule_booking,Tolong reschedule reservasi bengkel ke Selasa sore.
reschedule_booking,Saya ga jadi hari ini, tolong ganti booking ke Sabtu.
reschedule_booking,Bisa bantu pindah jadwal servis motor ke Kamis pagi?
reschedule_booking,Saya mau ganti booking bengkel mobil ke hari Jumat.
reschedule_booking,Tolong ubah pesanan servis motor ke Senin pagi.
reschedule_booking,Mohon atur ulang jadwal bengkel ke hari Minggu sore.
reschedule_booking,Apa bisa reschedule booking perbaikan mobil ke Rabu?
reschedule_booking,Saya ingin pindah jadwal servis motor ke Selasa pagi.
reschedule_booking,Tolong ganti reservasi bengkel ke Jumat sore.
