intent,text
ask_sparepart_price,Berapa harga ban mobil di bengkel ini?
ask_sparepart_price,Apa harga oli motor di tempat kalian?
ask_sparepart_price,Bisa kasih tau harga kampas rem mobil berapa?
ask_sparepart_price,Harga aki motor berapa ya?
ask_sparepart_price,Berapa ongkos untuk beli busi mobil di bengkel ini?
ask_sparepart_price,Apa harga rantai motor di sini?
ask_sparepart_price,Tolong info harga filter oli mobil berapa?
ask_sparepart_price,Harga shockbreaker motor berapa di bengkel kalian?
ask_sparepart_price,Berapa biaya untuk beli kampas kopling motor?
ask_sparepart_price,Harga velg mobil di tempat ini berapa?
ask_sparepart_price,Bisa kasih tau ongkos aki mobil berapa?
ask_sparepart_price,Apa harga ban dalam motor di bengkel ini?
ask_sparepart_price,Berapa biaya untuk beli oli mesin motor di sini?
ask_sparepart_price,Tolong kasih tau harga rem cakram mobil berapa?
ask_sparepart_price,Harga lampu depan mobil berapa ya?
ask_sparepart_price,Berapa ongkos untuk beli filter udara motor di bengkel ini?
ask_sparepart_price,Apa biaya busi motor di tempat kalian?
ask_sparepart_price,Harga bearing roda mobil berapa di sini?
ask_sparepart_price,Berapa biaya untuk beli kampas rem motor di bengkel kalian?
ask_sparepart_price,Tolong info harga shockbreaker mobil berapa?
ask_sparepart_price,Bisa kasih tau ongkos rantai keteng motor berapa?
ask_sparepart_price,Apa harga filter bensin mobil di bengkel ini?
ask_sparepart_price,Berapa biaya untuk beli aki motor di tempat ini?
ask_sparepart_price,Harga ban luar motor berapa ya?
ask_sparepart_price,Tolong kasih tau biaya lampu sein mobil berapa?
ask_sparepart_price,Apa harga oli gardan mobil di bengkel ini?
ask_sparepart_price,Berapa ongkos untuk beli kopling mobil di sini?
ask_sparepart_price,Harga gir motor berapa di bengkel kalian?
ask_sparepart_price,Bisa kasih tau biaya filter oli motor berapa?
ask_sparepart_price,Apa harga rem tromol mobil di tempat ini?
ask_sparepart_price,Berapa biaya untuk beli busi iridium motor di bengkel ini?
ask_sparepart_price,Tolong info harga velg motor berapa?
ask_sparepart_price,Harga tie rod mobil berapa ya?
ask_sparepart_price,Berapa ongkos untuk beli kampas kopling mobil di sini?
ask_sparepart_price,Apa biaya ban dalam mobil di bengkel kalian?
