intent,text
casual_chat,Hai, apa kabar? Lagi apa nih hari ini?
casual_chat,Cuaca hari ini cerah banget, enak buat jalan-jalan.
casual_chat,Kemarin nonton film baru, seru banget loh!
casual_chat,Lagi pengen makan bakso, kamu suka bakso apa sih?
casual_chat,Akhir pekan ini rencana ke mana, bro?
casual_chat,Hobi baru aku tuh main gitar, susah tapi asyik.
casual_chat,Eh, kamu pernah coba main game baru itu belum?
casual_chat,Hari ini mood-nya happy, ga tahu kenapa.
casual_chat,Pagi tadi lihat sunrise, cantik banget warnanya.
casual_chat,Lagi dengerin lagu apa sekarang? Rekomendasi dong!
casual_chat,Kamera baru aku cakep banget, mau coba foto sunset.
casual_chat,Makanan favoritmu apa sih? Aku suka sate taichan.
casual_chat,Kemarin ke kafe baru, vibes-nya cozy banget.
casual_chat,Libur kemarin ngapain aja? Aku cuma rebahan.
casual_chat,Eh, kamu tim teh apa kopi? Aku sih kopi pahit.
casual_chat,Lagi pengen ke pantai, kangen main air.
casual_chat,Netflix lagi punya rekomendasi series apa ya?
casual_chat,Hari ini pake baju baru, rasanya pede banget.
casual_chat,Kamu suka olahraga apa? Aku suka jogging pagi.
casual_chat,Malem ini rencana dinner sama temen, seru kayaknya.
casual_chat,Lagi nyanyi-nyanyi di kamar, hehe, kamu suka karaoke?
casual_chat,Cuaca mendung nih, kayaknya bakal hujan.
casual_chat,Kemarin beli buku baru, seru banget bacanya.
casual_chat,Eh, kamu pernah ke festival musik? Asyik loh!
casual_chat,Lagi pengen coba masak resep baru, ada saran?
casual_chat,Hari ini beresin kamar, ternyata capek juga ya.
casual_chat,Kamu suka main catur apa uno? Aku tim uno sih.
casual_chat,Pagi tadi lihat burung di balkon, lucu banget.
casual_chat,Lagi scroll Instagram, nemu meme lucu banget.
casual_chat,Weekend ini pengen ke gunung, seger pasti.
casual_chat,Kamu suka pizza topping apa? Aku suka pepperoni.
casual_chat,Hari ini pengen santai aja sambil nonton YouTube.
casual_chat,Eh, kamu punya hewan peliharaan ga? Aku punya kucing.
casual_chat,Lagi denger podcast, seru banget topiknya.
casual_chat,Kemarin jalan-jalan ke taman, seger banget.
casual_chat,Lagi pengen beli sepatu baru, model apa ya yang bagus?
casual_chat,Hari ini bangun kesiangan, untung ga ada acara.
casual_chat,Kamu suka foto pake HP atau kamera? Aku sih HP.
casual_chat,Lagi pengen ke bioskop, ada film bagus ga ya?
casual_chat,Malem ini pengen coba bikin dessert, apa ya enak?
casual_chat,Eh, kamu suka nulis jurnal ga? Aku lagi coba nih.
casual_chat,Cuaca panas banget, pengen es krim nih.
casual_chat,Kemarin ketemu temen lama, seru ngobrol nostalgia.
casual_chat,Lagi pengen ke pameran seni, kayaknya menarik.
casual_chat,Hari ini cuma pengen rebahan sambil baca komik.
casual_chat,Kamu suka laut apa gunung? Aku sih gunung.
casual_chat,Lagi nyanyi lagu lama, bikin kangen masa sekolah.
casual_chat,Eh, kamu pernah coba yoga? Kayaknya rileks.
casual_chat,Hari ini nemu kafe aesthetic, fotonya cakep banget.
casual_chat,Lagi pengen ke pasar malam, kangen jajan cilok.
casual_chat,Kamu suka berenang ga? Aku suka banget di kolam.
casual_chat,Lagi dengerin musik klasik, bikin tenang jiwa.
casual_chat,Kemarin ke toko buku, bingung pilih novel mana.
casual_chat,Hari ini rencana marathon series, ada saran?
casual_chat,Eh, kamu suka main puzzle ga? Aku lagi kecanduan.
casual_chat,Lagi pengen ke danau, kayaknya damai banget.
casual_chat,Cuaca hari ini enak buat piknik, apa kabar kamu?
casual_chat,Kemarin coba bikin kue, eh, lumayan jadi.
casual_chat,Lagi scroll X, nemu thread lucu banget.
casual_chat,Hari ini pengen ke mall, cuma window shopping.
casual_chat,Kamu suka es teh apa es jeruk? Aku es teh manis.
casual_chat,Lagi pengen coba buah baru, ada rekomendasi?
casual_chat,Eh, kamu suka ke kebun binatang ga? Lucu loh.
casual_chat,Hari ini cuma pengen santai sambil denger radio.
casual_chat,Kemarin ketemu anjing lucu di taman, gemes!
casual_chat,Lagi pengen ke konser, ada band bagus ga ya?
casual_chat,Kamu suka makan pedes apa ga? Aku sih ga kuat.
casual_chat,Hari ini beresin galeri foto di HP, penuh banget.
casual_chat,Lagi pengen ke tempat bersejarah, kayaknya seru.
casual_chat,Eh, kamu suka gardening ga? Aku lagi coba tanam tomat.
casual_chat,Cuaca cerah nih, enak buat foto-foto outdoor.
casual_chat,Kemarin coba bikin smoothies, segar banget.
casual_chat,Lagi pengen ke rooftop cafe, view-nya pasti cakep.
casual_chat,Hari ini pengen coba olahraga baru, apa ya enak?
casual_chat,Kamu suka baca berita apa langsung scroll medsos?
casual_chat,Lagi dengerin lagu pop, bikin semangat kerja.
casual_chat,Eh, kamu suka main board game ga? Seru loh.
casual_chat,Hari ini nemu warung makan baru, murah tapi enak.
casual_chat,Lagi pengen ke air terjun, kangen suasana alam.
casual_chat,Kemarin ke flea market, banyak barang unik.
casual_chat,Kamu suka nonton stand-up comedy ga? Lucu banget.
casual_chat,Hari ini pengen coba bikin kopi sendiri, ada tips?
casual_chat,Lagi scroll TikTok, nemu dance lucu banget.
casual_chat,Eh, kamu suka ke museum ga? Menarik loh.
casual_chat,Cuaca hari ini sejuk, enak buat santai di teras.
casual_chat,Kemarin coba bikin pizza homemade, lumayan enak.
casual_chat,Lagi pengen ke taman bunga, pasti cakep buat foto.
casual_chat,Hari ini cuma pengen dengerin musik sambil ngelamun.
casual_chat,Kamu suka main badminton apa tenis? Aku badminton.
casual_chat,Lagi pengen coba dessert baru, ada saran apa?
casual_chat,Eh, kamu suka nonton drama korea ga? Lagi hits nih.
casual_chat,Hari ini nemu spot piknik bagus, seger banget.
casual_chat,Kemarin ke toko kaset, nostalgia banget.
casual_chat,Lagi pengen ke pantai buat lihat sunset, kangen.
casual_chat,Kamu suka jalan kaki apa naik sepeda? Aku jalan kaki.
casual_chat,Hari ini pengen coba bikin roti, kayaknya seru.
casual_chat,Lagi dengerin jazz, bikin rileks banget.
casual_chat,Eh, kamu suka koleksi apa? Aku suka koin lama.
casual_chat,Cuaca hari ini mendung, enak buat tidur siang.
casual_chat,Kemarin ke pasar, nemu buah segar banget.
casual_chat,Lagi pengen ke festival kuliner, laper mata.
casual_chat,Hari ini cuma pengen santai sambil baca majalah.
casual_chat,Kamu suka mancing ga? Aku sih suka santai di danau.
casual_chat,Lagi pengen coba olahraga yoga, ada tips buat pemula?
casual_chat,Eh, kamu suka main kartu ga? Aku suka remi.
casual_chat,Hari ini nemu kafe dengan live music, asyik banget.
casual_chat,Kemarin coba bikin es kopi, segar banget rasanya.
casual_chat,Lagi pengen ke hutan kota, kangen udara segar.
casual_chat,Kamu suka makan sushi apa ramen? Aku ramen pedes.
casual_chat,Hari ini pengen coba bikin craft, kayaknya seru.
casual_chat,Lagi dengerin lagu akustik, bikin tenang hati.
casual_chat,Eh, kamu suka ke taman hiburan ga? Seru loh.
casual_chat,Cuaca hari ini panas, pengen minum es kelapa.
casual_chat,Kemarin ke toko tanaman, nemu kaktus lucu.
casual_chat,Lagi pengen ke acara stand-up, pasti ngakak.
casual_chat,Hari ini cuma pengen santai sambil main game.
casual_chat,Kamu suka lari pagi apa sore? Aku pagi dong.
casual_chat,Lagi pengen coba bikin salad, ada resep enak?
casual_chat,Eh, kamu suka nonton dokumenter ga? Menarik loh.
casual_chat,Hari ini nemu spot foto kece di pinggir kota.
casual_chat,Kemarin ke warung makan, nasi gorengnya juara.
casual_chat,Lagi pengen ke danau buat santai, damai banget.
casual_chat,Kamu suka minum jus apa? Aku suka jus mangga.
casual_chat,Hari ini pengen coba bikin latte art, susah ga ya?
casual_chat,Lagi dengerin lagu reggae, bikin santai banget.
casual_chat,Eh, kamu suka main voli ga? Seru buat tim.
casual_chat,Cuaca hari ini cerah, enak buat piknik ringan.
casual_chat,Kemarin ke toko kopi, nemu biji kopi enak.
casual_chat,Lagi pengen ke pameran buku, banyak diskon.
casual_chat,Hari ini cuma pengen santai sambil denger audiobook.
casual_chat,Kamu suka panjat tebing apa hiking? Aku hiking.
casual_chat,Lagi pengen coba bikin donat, ada resep gampang?
casual_chat,Eh, kamu suka nonton reality show ga? Seru loh.
casual_chat,Hari ini nemu taman kecil deket rumah, asyik.
casual_chat,Kemarin coba bikin brownies, manis banget.
casual_chat,Lagi pengen ke rooftop bar, view-nya pasti keren.
casual_chat,Kamu suka makan dimsum apa bakpao? Aku dimsum.
casual_chat,Hari ini pengen coba bikin mocktail, segar kayaknya.
casual_chat,Lagi dengerin lagu indie, vibe-nya enak banget.
casual_chat,Eh, kamu suka main basket ga? Aku suka nontin.
casual_chat,Cuaca hari ini sejuk, enak buat jalan sore.
casual_chat,Kemarin ke toko roti, nemu croissant enak banget.
casual_chat,Lagi pengen ke festival film, kayaknya seru.
casual_chat,Hari ini cuma pengen santai sambil main puzzle.
casual_chat,Kamu suka nyanyi apa nari? Aku sih nyanyi.
casual_chat,Lagi pengen coba bikin sushi, susah ga ya?
casual_chat,Eh, kamu suka main petak umpet ga? Nostalgia banget.
casual_chat,Hari ini nemu warung kopi hidden gem, cozy.
