anchor,positive,negative
"Mobil saya susah distarter, apa masalahnya?","Kenapa mobil saya ga mau nyala pas starter?","Berapa biaya ganti oli mesin mobil?"
"Motor saya bunyi aneh dari mesin, kayak ketukan.","Ada suara ketuk-ketuk dari mesin motor, normal ga?","Bagaimana cara merawat aki motor?"
"Oli mobil bocor, ada tetesan di bawah mesin.","Kenapa ada oli netes di bawah mobil?","Apa fungsi filter udara pada mobil?"
"AC mobil ga dingin, cuma keluar angin doang.","AC mobil saya ga dingin sama sekali, kenapa ya?","Berapa harga ban mobil ukuran 17 inch?"
"Ban motor kempes terus, padahal baru ditambal.","Kenapa ban motor saya cepet banget kempes?","Apa perbedaan oli sintetik dan mineral?"
"Mesin mobil overheat, suhu naik terus pas jalan.","Mobil saya suhunya tinggi banget, apa penyebabnya?","Bagaimana cara membersihkan karburator motor?"
"Lampu depan motor mati sebelah, ga nyala sama sekali.","Kenapa lampu motor saya ga nyala satu?","Apa itu sistem injeksi pada mobil?"
"Rem mobil bunyi berdecit tiap ngerem, kenapa ya?","Ada suara decit pas ngerem mobil, apa masalahnya?","Berapa biaya servis rutin motor?"
"Gear motor susah masuk, keras banget rasanya.","Kenapa gigi motor saya susah dipindah?","Apa fungsi radiator pada mobil?"
"Asap knalpot mobil putih banget, apa itu normal?","Knalpot mobil keluar asap putih, bahaya ga?","Bagaimana cara mengganti kampas rem motor?"
"Motor goyang-goyang pas ngebut, ga stabil.","Kenapa motor saya oleng pas kenceng?","Apa itu timing belt pada mobil?"
"Power mobil lelet, ga bertenaga pas nanjak.","Mobil saya ga kuat nanjak, kenapa ya?","Berapa harga aki motor yang bagus?"
"Suara mesin motor kasar banget, ga halus lagi.","Mesin motor bunyi kasar, apa yang rusak?","Apa fungsi busi pada kendaraan?"
"Klakson mobil ga bunyi, udah coba tapi diam.","Kenapa klakson mobil saya ga berfungsi?","Bagaimana cara merawat rantai motor?"
"Spion motor longgar, geter terus pas jalan.","Spion motor goyang-goyang, gimana cara benerin?","Apa itu sistem ABS pada mobil?"
"Mobil tarikannya berat, kayak ada yang nahan.","Kenapa mobil saya tarikannya lambat?","Berapa biaya ganti kampas kopling motor?"
"Busi motor cepet banget mati, baru ganti bulan lalu.","Kenapa busi motor saya sering mati?","Apa fungsi filter oli pada mobil?"
"Wiper mobil ga jalan, cuma gerak pelan banget.","Wiper mobil lambat banget, apa masalahnya?","Bagaimana cara membersihkan injektor mobil?"
"Kopling motor selip, gas naik tapi ga lari.","Kenapa kopling motor saya licin?","Apa itu turbo pada mobil?"
"Mesin mobil mati sendiri pas berhenti di lampu merah.","Mobil saya mati mendadak pas berhenti, kenapa?","Berapa harga ban motor tubeless?"
"Shockbreaker motor bocor, oli netes di roda.","Kenapa shock motor saya bocor oli?","Apa fungsi alternator pada mobil?"
"Lampu sein mobil ga nyala, padahal saklar udah on.","Kenapa lampu sein mobil ga berfungsi?","Bagaimana cara merawat aki mobil?"
"Motor susah nyala pagi-pagi, harus starter lama.","Kenapa motor saya susah distarter pas pagi?","Apa itu sistem pengereman ABS?"
"Stir mobil bergetar pas ngebut di tol, kenapa ya?","Kenapa setir mobil goyang pas kenceng?","Berapa biaya servis AC mobil?"
"Chain motor kendor, bunyi kletak-kletak pas jalan.","Rantai motor bunyi aneh, apa perlu ganti?","Apa fungsi catalytic converter pada mobil?"
"Air radiator mobil cepet habis, apa ada kebocoran?","Kenapa air radiator mobil cepet banget habis?","Bagaimana cara mengganti oli gardan motor?"
"Motor boros bensin banget, ga wajar kayaknya.","Kenapa motor saya ngabisin bensin banyak?","Apa itu sistem transmisi CVT?"
"Jok mobil basah, kayak ada rembesan dari mana gitu.","Kenapa jok mobil saya basah?","Berapa harga lampu LED untuk motor?"
"Speedometer motor ga jalan, stuck di nol.","Kenapa speedometer motor ga bergerak?","Apa fungsi thermostat pada mobil?"
"Mobil bunyi gluduk-gluduk dari kolong pas lewat polisi tidur.","Ada suara aneh dari bawah mobil, apa itu?","Bagaimana cara merawat velg mobil?"
"Mesin motor panas banget, sampe bau gosong.","Kenapa mesin motor saya overheat?","Apa itu sistem pengapian CDI?"
"Power window mobil macet, ga bisa naik-turun.","Kenapa power window mobil ga berfungsi?","Berapa biaya ganti bearing roda motor?"
"Motor mati mendadak pas lagi riding, ga tahu kenapa.","Kenapa motor saya mati sendiri pas jalan?","Apa fungsi master rem pada mobil?"
"Suspensi mobil keras banget, ga nyaman di jalan.","Kenapa suspensi mobil terasa kaku?","Bagaimana cara membersihkan filter udara motor?"
"Rem motor blong, ga pakem lagi pas ditarik.","Kenapa rem motor ga berfungsi dengan baik?","Apa itu sistem injeksi PGM-FI?"
"Lampu dashboard mobil nyala terus, tanda check engine.","Kenapa lampu check engine mobil menyala?","Berapa harga kampas rem mobil?"
"Motor geter hebat pas idle, kayak mau mati.","Kenapa motor bergetar parah pas diam?","Apa fungsi throttle body pada mobil?"
"Mobil bau bensin di kabin, apa ada yang bocor?","Kenapa ada bau bensin di dalam mobil?","Bagaimana cara merawat rantai timing motor?"
"Aki motor lelet, starter ga kuat lagi.","Kenapa aki motor cepet habis?","Apa itu sistem pengereman regenerative?"
"Gas mobil ga responsif, injak gas kok lambat.","Kenapa mobil lambat respons pas gas diinjak?","Berapa biaya servis injeksi motor?"
"Motor keluar asap hitam dari knalpot, apa itu bahaya?","Kenapa knalpot motor keluar asap hitam?","Apa fungsi sensor O2 pada mobil?"
"Transmisi mobil bunyi aneh pas pindah gigi.","Ada suara aneh dari gearbox mobil, kenapa?","Bagaimana cara mengganti oli transmisi motor?"
"Handle motor keras, susah buat belok.","Kenapa setang motor terasa kaku?","Apa itu sistem penggerak 4WD?"
"Mobil goyang pas ngerem, apa rotor bremnya bermasalah?","Kenapa mobil bergetar pas ngerem?","Berapa harga shockbreaker motor?"
"Lampu rem motor ga nyala, padahal rem udah ditekan.","Kenapa lampu rem motor ga berfungsi?","Apa fungsi differential pada mobil?"
"Mesin mobil bunyi tik-tik, apa itu serius?","Ada suara tik-tik dari mesin mobil, kenapa?","Bagaimana cara merawat kopling motor?"
"Motor tarikannya lelet, kayak kehabisan tenaga.","Kenapa motor ga bertenaga pas digas?","Apa itu sistem pendingin air?"
"Kaca mobil buram, wiper ga bisa bersihin.","Kenapa kaca mobil susah dibersihkan?","Berapa biaya ganti ban mobil?"
"Shock motor amblas, ga balik lagi ke posisi awal.","Kenapa shockbreaker motor ga normal?","Apa fungsi catalytic converter pada motor?"
"Mobil susah pindah gigi, keras banget rasanya.","Kenapa transmisi mobil susah dipindah?","Bagaimana cara membersihkan karburator mobil?"
"Motor bau oli terbakar, apa mesinnya bermasalah?","Kenapa ada bau oli gosong dari motor?","Apa itu sistem pengapian DLI?"
"AC mobil bau apek, ga enak banget baunya.","Kenapa AC mobil berbau tidak sedap?","Berapa harga oli mesin motor?"
"Motor bunyi ngorok pas digas, dari mesin kayaknya.","Ada suara aneh pas gas motor diinjak, kenapa?","Apa fungsi throttle position sensor?"
"Stir mobil berat banget, ga enteng lagi.","Kenapa setir mobil terasa berat?","Bagaimana cara merawat sistem kemudi motor?"
"Ban motor aus sebelah, apa perlu spooring?","Kenapa ban motor cepet aus di satu sisi?","Apa itu sistem pengereman EBD?"
"Mobil bunyi kretek-kretek pas muter setir.","Ada suara aneh pas belok mobil, kenapa?","Berapa biaya ganti kampas rem motor?"
