intent,text
confirm_booking,Saya ingin konfirmasi booking servis mobil untuk hari Sabtu ini.
confirm_booking,Tolong cek apakah pesanan bengkel motor saya sudah masuk untuk besok?
confirm_booking,Apakah jadwal perbaikan mobil saya di hari Senin sudah terdaftar?
confirm_booking,Bisa pastikan reservasi tune-up motor saya untuk minggu depan?
confirm_booking,Mohon konfirmasi booking cek kendaraan saya di hari Jumat.
confirm_booking,Saya mau tahu status booking servis motor untuk hari ini.
confirm_booking,Apa pesanan bengkel mobil saya sudah fix untuk hari Rabu?
confirm_booking,Tolong pastikan jadwal servis motor saya di hari Kamis sore.
confirm_booking,Bisa cek booking perbaikan mobil saya untuk minggu ini?
confirm_booking,Saya ingin memastikan reservasi bengkel untuk besok pagi.
confirm_booking,Mohon konfirmasi apakah tune-up mobil saya sudah masuk jadwal hari Selasa?
confirm_booking,Apakah booking servis motor untuk hari Jumat pagi sudah oke?
confirm_booking,Tolong cek status pesanan bengkel mobil saya di hari Senin.
confirm_booking,Saya mau konfirmasi jadwal cek motor untuk minggu depan.
confirm_booking,Bisa pastikan booking perbaikan mobil saya di hari Rabu ini?
confirm_booking,Apa reservasi servis motor saya untuk besok sudah dikonfirmasi?
confirm_booking,Mohon cek apakah jadwal tune-up mobil saya fix untuk hari Kamis?
confirm_booking,Saya ingin tahu apakah booking bengkel motor sudah masuk untuk hari ini.
confirm_booking,Tolong konfirmasi pesanan servis mobil saya di hari Jumat.
confirm_booking,Bisa cek apakah reservasi perbaikan motor saya sudah terdaftar?
confirm_booking,Saya mau pastikan jadwal bengkel untuk minggu ini sudah oke.
confirm_booking,Apakah booking tune-up mobil untuk hari Senin sudah masuk?
confirm_booking,Mohon konfirmasi servis motor saya di hari Selasa pagi.
confirm_booking,Tolong pastikan pesanan cek mobil untuk besok sudah fix.
confirm_booking,Bisa cek status booking perbaikan motor di hari Rabu?
confirm_booking,Saya ingin konfirmasi reservasi bengkel mobil untuk hari Kamis.
confirm_booking,Apa jadwal servis motor saya di hari Jumat sudah terkonfirmasi?
confirm_booking,Mohon pastikan booking tune-up mobil untuk minggu depan.
confirm_booking,Tolong cek apakah pesanan bengkel motor saya sudah masuk jadwal?
confirm_booking,Saya mau tahu status reservasi servis mobil untuk hari ini.
confirm_booking,Bisa konfirmasi jadwal perbaikan motor di hari Senin?
confirm_booking,Apakah booking cek mobil saya untuk besok sudah terdaftar?
confirm_booking,Mohon cek status tune-up motor saya di hari Rabu sore.
confirm_booking,Tolong pastikan booking servis mobil untuk hari Kamis ini.
confirm_booking,Saya ingin konfirmasi pesanan bengkel motor di minggu depan.
confirm_booking,Bisa cek apakah reservasi perbaikan mobil sudah fix untuk hari Jumat?
confirm_booking,Apa jadwal servis motor saya untuk hari Senin sudah oke?
confirm_booking,Mohon konfirmasi booking tune-up mobil di hari Selasa.
confirm_booking,Tolong pastikan pesanan cek motor untuk besok pagi.
confirm_booking,Saya mau tahu apakah booking bengkel mobil sudah masuk hari Rabu?
confirm_booking,Bisa cek status reservasi servis motor untuk hari Kamis?
confirm_booking,Apakah jadwal perbaikan mobil saya di hari Jumat sudah terkonfirmasi?
confirm_booking,Mohon pastikan booking tune-up motor untuk minggu ini.
confirm_booking,Tolong konfirmasi pesanan bengkel mobil di hari Senin sore.
confirm_booking,Saya ingin cek apakah reservasi servis motor sudah fix untuk besok?
confirm_booking,Bisa pastikan jadwal cek mobil saya di hari Rabu ini?
confirm_booking,Apa status booking perbaikan motor untuk hari Kamis?
confirm_booking,Mohon konfirmasi tune-up mobil saya di hari Jumat pagi.
confirm_booking,Tolong cek apakah pesanan bengkel motor sudah terdaftar minggu depan?
confirm_booking,Saya mau pastikan booking servis mobil untuk hari ini.
confirm_booking,Bisa konfirmasi reservasi perbaikan motor di hari Senin?
confirm_booking,Apakah jadwal cek mobil saya untuk besok sudah masuk?
confirm_booking,Mohon pastikan booking tune-up motor di hari Rabu sore.
confirm_booking,Tolong cek status servis mobil untuk hari Kamis ini.
confirm_booking,Saya ingin tahu apakah pesanan bengkel motor fix untuk hari Jumat?
confirm_booking,Bisa cek apakah reservasi perbaikan mobil sudah oke minggu depan?
confirm_booking,Apa jadwal servis motor saya di hari Senin sudah terdaftar?
confirm_booking,Mohon konfirmasi booking cek mobil untuk hari Selasa.
confirm_booking,Tolong pastikan tune-up mobil saya masuk jadwal besok.
confirm_booking,Saya mau cek status pesanan bengkel motor di hari Rabu?
confirm_booking,Bisa konfirmasi reservasi servis mobil untuk hari Kamis sore?
confirm_booking,Apakah booking perbaikan motor sudah fix untuk hari Jumat?
confirm_booking,Mohon pastikan jadwal tune-up motor di minggu ini.
confirm_booking,Tolong cek apakah pesanan cek mobil sudah masuk hari Senin?
confirm_booking,Saya ingin konfirmasi booking servis motor untuk besok pagi.
confirm_booking,Bisa pastikan reservasi bengkel mobil di hari Rabu?
confirm_booking,Apa status jadwal perbaikan motor untuk hari Kamis ini?
confirm_booking,Mohon konfirmasi tune-up mobil saya di hari Jumat sore.
confirm_booking,Tolong cek apakah booking servis motor sudah terdaftar minggu depan?
confirm_booking,Saya mau tahu apakah pesanan bengkel mobil fix untuk hari ini?
confirm_booking,Bisa konfirmasi jadwal cek motor di hari Senin pagi?
confirm_booking,Apakah reservasi perbaikan mobil untuk besok sudah masuk?
confirm_booking,Mohon pastikan booking tune-up motor di hari Rabu ini.
confirm_booking,Tolong cek status servis mobil saya untuk hari Kamis sore?
confirm_booking,Saya ingin pastikan pesanan bengkel motor di hari Jumat?
confirm_booking,Bisa cek apakah jadwal perbaikan mobil sudah fix minggu depan?
confirm_booking,Apa booking servis motor saya untuk hari Senin sudah oke?
confirm_booking,Mohon konfirmasi reservasi cek mobil di hari Selasa sore?
confirm_booking,Tolong pastikan tune-up mobil saya masuk jadwal besok pagi?
confirm_booking,Saya mau cek apakah booking bengkel motor sudah terdaftar hari Rabu?
confirm_booking,Bisa konfirmasi status servis mobil untuk hari Kamis ini?
confirm_booking,Apakah pesanan perbaikan motor di hari Jumat sudah masuk?
confirm_booking,Mohon pastikan jadwal tune-up motor untuk minggu depan.
confirm_booking,Tolong cek apakah reservasi cek mobil fix untuk hari Senin?
confirm_booking,Saya ingin tahu status booking servis motor di besok?
confirm_booking,Bisa pastikan pesanan bengkel mobil untuk hari Rabu sore?
confirm_booking,Apa jadwal perbaikan motor saya di hari Kamis sudah terkonfirmasi?
confirm_booking,Mohon konfirmasi tune-up mobil untuk hari Jumat ini.
confirm_booking,Tolong cek status booking servis motor untuk minggu depan?
confirm_booking,Saya mau pastikan reservasi bengkel mobil di hari ini.
confirm_booking,Bisa konfirmasi apakah cek motor saya sudah masuk hari Senin?
confirm_booking,Apakah jadwal servis mobil untuk besok sudah fix?
confirm_booking,Mohon pastikan booking perbaikan motor di hari Rabu pagi?
confirm_booking,Tolong cek apakah tune-up mobil saya terdaftar untuk hari Kamis?
confirm_booking,Saya ingin konfirmasi pesanan bengkel motor di hari Jumat sore?
confirm_booking,Bisa pastikan reservasi servis mobil untuk minggu ini?
confirm_booking,Apa status booking cek motor saya di hari Senin ini?
confirm_booking,Mohon konfirmasi jadwal perbaikan mobil untuk besok?
confirm_booking,Tolong cek apakah booking tune-up motor sudah fix hari Rabu?
confirm_booking,Saya mau tahu status pesanan bengkel mobil untuk hari Kamis?
confirm_booking,Bisa konfirmasi reservasi servis motor di hari Jumat pagi?
confirm_booking,Apakah jadwal cek mobil saya untuk minggu depan sudah masuk?
confirm_booking,Mohon pastikan booking perbaikan motor di hari Senin sore?
confirm_booking,Tolong cek status tune-up mobil untuk besok pagi?
confirm_booking,Saya ingin pastikan pesanan bengkel motor di hari Rabu ini?
confirm_booking,Bisa konfirmasi apakah servis mobil saya fix untuk hari Kamis?
confirm_booking,Apa booking cek motor untuk hari Jumat sudah terdaftar?
confirm_booking,Mohon pastikan reservasi tune-up motor untuk minggu ini.
confirm_booking,Tolong cek apakah jadwal perbaikan mobil masuk hari Senin?
confirm_booking,Saya mau konfirmasi booking servis motor untuk besok sore?
confirm_booking,Bisa pastikan pesanan bengkel mobil di hari Rabu pagi?
confirm_booking,Apakah status tune-up motor saya di hari Kamis sudah oke?
confirm_booking,Mohon konfirmasi jadwal cek mobil untuk hari Jumat ini?
confirm_booking,Tolong cek apakah reservasi perbaikan motor fix minggu depan?
confirm_booking,Saya ingin tahu status booking servis mobil di hari ini?
confirm_booking,Bisa konfirmasi apakah tune-up mobil masuk jadwal besok?
confirm_booking,Apa pesanan bengkel motor untuk hari Senin sudah terkonfirmasi?
