intent,text
provide_booking_date,Apa ada slot kosong untuk servis mobil di hari Senin tanggal 25 Mei?
provide_booking_date,Bisa cek ketersediaan bengkel untuk motor hari Jumat ini?
provide_booking_date,Tolong lihat apa ada waktu untuk ganti oli mobil pada 30 Mei?
provide_booking_date,Hari Sabtu besok ada slot untuk cek mesin motor gak?
provide_booking_date,Apakah bengkel buka untuk servis rutin mobil tanggal 27 Mei?
provide_booking_date,Bisa ga cek jadwal bengkel untuk motor di hari Rabu depan?
provide_booking_date,Apa ada waktu kosong untuk servis rem mobil pada 1 Juni?
provide_booking_date,Tolong cek ketersediaan slot untuk ganti ban motor tanggal 26 Mei?
provide_booking_date,Hari Kamis ini ada waktu untuk servis rutin mobil gak?
provide_booking_date,Bisa bantu cek apa ada slot untuk cek mesin mobil di 28 Mei?
provide_booking_date,Apakah ada jadwal kosong untuk servis motor tanggal 2 Juni?
provide_booking_date,Tolong lihat apa bengkel available untuk mobil hari Selasa depan?
provide_booking_date,Ada slot untuk ganti oli motor di hari Minggu, 31 Mei?
provide_booking_date,Bisa cek ketersediaan untuk servis rem mobil tanggal 29 Mei?
provide_booking_date,Apa bengkel buka untuk cek ban motor di hari Jumat, 30 Mei?
provide_booking_date,Tolong cek ada waktu gak untuk servis mobil pada 3 Juni?
provide_booking_date,Hari Senin tanggal 24 Mei ada slot kosong untuk motor?
provide_booking_date,Bisa ga lihat jadwal bengkel untuk ganti oli mobil di 27 Mei?
provide_booking_date,Apakah ada waktu untuk servis rutin motor tanggal 28 Mei?
provide_booking_date,Tolong cek ketersediaan slot untuk cek mesin mobil pada 4 Juni?
provide_booking_date,Ada gak slot untuk servis rem motor di hari Sabtu ini?
provide_booking_date,Bisa bantu lihat apa ada waktu untuk mobil tanggal 25 Mei?
provide_booking_date,Hari Rabu depan ada slot untuk ganti ban mobil gak?
provide_booking_date,Apa bengkel buka untuk servis motor pada 1 Juni sore?
provide_booking_date,Tolong cek apa ada jadwal untuk cek rem mobil di 26 Mei?
provide_booking_date,Bisa ga cek ketersediaan slot untuk servis rutin motor pada 29 Mei?
provide_booking_date,Ada waktu kosong untuk ganti oli mobil hari Kamis, 27 Mei?
provide_booking_date,Apakah bengkel available untuk cek mesin motor tanggal 30 Mei?
provide_booking_date,Tolong lihat apa ada slot untuk servis mobil di 2 Juni pagi?
provide_booking_date,Hari Selasa tanggal 25 Mei ada waktu untuk servis motor?
provide_booking_date,Bisa cek apa bengkel buka untuk ganti ban mobil pada 28 Mei?
provide_booking_date,Apa ada slot kosong untuk servis rutin mobil di 31 Mei?
provide_booking_date,Tolong cek ketersediaan untuk cek rem motor tanggal 3 Juni?
provide_booking_date,Hari Jumat ini ada waktu untuk servis mobil gak?
provide_booking_date,Bisa ga lihat jadwal untuk ganti oli motor pada 26 Mei?
provide_booking_date,Apakah ada slot untuk cek mesin mobil tanggal 29 Mei sore?
provide_booking_date,Tolong cek apa bengkel available untuk servis motor di 27 Mei?
provide_booking_date,Ada gak waktu kosong untuk servis rem mobil pada 2 Juni?
provide_booking_date,Bisa bantu cek slot untuk ganti ban motor di hari Senin depan?
provide_booking_date,Hari Sabtu tanggal 30 Mei ada jadwal untuk servis mobil?
provide_booking_date,Apa bengkel buka untuk cek mesin motor pada 25 Mei pagi?
provide_booking_date,Tolong lihat ketersediaan slot untuk ganti oli mobil di 1 Juni?
provide_booking_date,Bisa ga cek apa ada waktu untuk servis rutin motor pada 28 Mei?
provide_booking_date,Apakah ada slot kosong untuk cek rem mobil tanggal 26 Mei?
provide_booking_date,Hari Kamis depan ada waktu untuk servis motor gak?
provide_booking_date,Tolong cek apa ada jadwal untuk ganti ban mobil di 29 Mei?
provide_booking_date,Ada slot untuk servis mobil pada hari Minggu, 30 Mei?
provide_booking_date,Bisa bantu lihat ketersediaan untuk cek mesin motor di 3 Juni?
provide_booking_date,Apa ada waktu kosong untuk servis rutin mobil tanggal 27 Mei?
provide_booking_date,Tolong cek slot untuk ganti oli motor pada hari Selasa, 25 Mei?
provide_booking_date,Hari Jumat tanggal 28 Mei ada jadwal untuk servis rem mobil?
provide_booking_date,Bisa ga cek ketersediaan untuk servis motor di 2 Juni pagi?
provide_booking_date,Apakah bengkel buka untuk cek ban mobil pada 31 Mei?
provide_booking_date,Tolong lihat apa ada slot untuk servis rutin motor di 26 Mei?
provide_booking_date,Ada gak waktu untuk ganti oli mobil tanggal 29 Mei sore?
provide_booking_date,Bisa bantu cek apa bengkel available untuk mobil di 4 Juni?
provide_booking_date,Hari Senin tanggal 24 Mei ada slot untuk cek mesin motor?
