vehicle_type,problem_description,diagnosis,first_aid,second_aid,third_aid
mobil,rem blong,kampas rem habis,isi minyak rem atau ganti kampas,ganti kampas rem,servis rem secara total
mobil,kopling slip,kampas kopling aus,sesuaikan kopling sementara,ganti kampas kopling,servis transmisi
motor,lampu tidak menyala,kabel konslet,periksa dan ganti kabel,bawa ke bengkel untuk ganti kabel,periksa sistem kelistrikan dan ECU
motor,getaran tidak normal saat berkendara,engine mounting rusak,kurangi kecepatan dan hindari jalan rusak,bawa ke bengkel untuk pengecekan mounting,ganti engine mounting
motor,mesin overheat,radiator bocor,isi ulang air radiator,ganti radiator,servis sistem pendingin
motor,lampu tidak menyala,kabel konslet,periksa dan ganti kabel,bawa ke bengkel untuk ganti kabel,periksa sistem kelistrikan dan ECU
motor,indikator check engine menyala,sensor rusak,reset ECU,bawa ke bengkel untuk pengecekan sensor,ganti sensor dan reset sistem
mobil,kendaraan tidak mau menyala,starter rusak,cek dan pukul ringan motor starter,ganti motor starter,servis sistem starter
mobil,getaran tidak normal saat berkendara,engine mounting rusak,kurangi kecepatan dan hindari jalan rusak,bawa ke bengkel untuk pengecekan mounting,ganti engine mounting
mobil,indikator check engine menyala,sensor rusak,reset ECU,bawa ke bengkel untuk pengecekan sensor,ganti sensor dan reset sistem
motor,kendaraan tidak mau menyala,starter rusak,cek dan pukul ringan motor starter,ganti motor starter,servis sistem starter
motor,kopling slip,kampas kopling aus,sesuaikan kopling sementara,ganti kampas kopling,servis transmisi
mobil,rem blong,kampas rem habis,isi minyak rem atau ganti kampas,ganti kampas rem,servis rem secara total
motor,indikator check engine menyala,sensor rusak,reset ECU,bawa ke bengkel untuk pengecekan sensor,ganti sensor dan reset sistem
motor,indikator check engine menyala,sensor rusak,reset ECU,bawa ke bengkel untuk pengecekan sensor,ganti sensor dan reset sistem
mobil,kopling slip,kampas kopling aus,sesuaikan kopling sementara,ganti kampas kopling,servis transmisi
motor,ban bocor,ban pecah,ganti ban dengan cadangan,tambal ban di tukang tambal,ganti ban seluruhnya jika aus
mobil,rem blong,kampas rem habis,isi minyak rem atau ganti kampas,ganti kampas rem,servis rem secara total
mobil,kendaraan tidak mau menyala,starter rusak,cek dan pukul ringan motor starter,ganti motor starter,servis sistem starter
mobil,kopling slip,kampas kopling aus,sesuaikan kopling sementara,ganti kampas kopling,servis transmisi
