vehicle_type,problem_description,diagnosis,first_aid,second_aid,third_aid
mobil,Mesin gak mau hidup,Aki lelet,"Coba lihat kabel aki dulu, pastikan semuanya kencang dan nggak ada karat. Kalau kotor, bersihkan pakai sikat atau lap.","Ayo coba sambung aki ke mobil lain pakai kabel jumper. Hubungkan positif ke positif dan negatif ke negatif, lalu coba starter lagi.","Kalau tetap nggak nyala, mungkin akinya udah soak. Ganti dengan aki baru yang sesuai spesifikasi mobilmu."
mobil,Mesin kepanasan,Radiator bocor,"Matikan mesin sekarang dan tunggu sampai dingin. Lihat radiatornya, ada bocor nggak? Kalau iya, tambal sementara pakai lem khusus radiator.","Isi radiator dengan air atau coolant kalau kurang. Ingat, jangan buka tutupnya pas mesin masih panas, bahaya!","Bawa mobil ke bengkel buat perbaikan radiator atau ganti kalau udah parah."
mobil,Lampu depan mati,Fuse jebol,"Cek kotak fuse di mobil, cari fuse lampu depan. Kalau putus, ganti sama yang baru, pastikan ampere-nya sama.","Lihat bohlam lampu depan, apa gosong atau rusak? Ganti kalau iya.","Kalau fuse dan bohlam aman, coba cek saklar lampu atau kabelnya, mungkin ada yang putus."
mobil,Rem bunyi cit-cit,Kampas rem tipis,"Lihat kampas rem, masih tebal apa udah tipis banget? Kalau tipis, ganti yang baru.","Periksa ada debu atau kotoran di kampas rem nggak. Bersihkan kalau kotor.","Kalau masih berisik, cek cakram rem, apa ada goresan? Mungkin perlu diganti."
mobil,Setir goyang,Ban nggak balance,"Cek tekanan angin ban, apa kurang atau kebanyakan? Tambah atau kurangi sesuai standar.","Bawa ke bengkel buat balancing ban biar stabil lagi.","Kalau goyang nggak hilang, lihat ban-nya, apa udah aus? Ganti kalau perlu."
mobil,AC nggak dingin,Freon abis,"Coba cek sistem AC, ada bocor di selang atau sambungan nggak? Perhatikan baik-baik.","Pergi ke bengkel buat isi ulang freon, pastikan bengkelnya terpercaya.","Kalau freon cepat habis lagi, cek kompresor AC-nya, mungkin rusak dan harus diganti."
mobil,Mobil ngeden pas gas,Filter bensin kotor,"Ganti filter bensin yang lama sama yang baru, soalnya kotoran bisa nyangkut di situ.","Cek pompa bensin, apa masih nyala normal? Dengar suaranya pas mesin hidup.","Kalau masih ngeden, bawa ke bengkel buat cek injeksi atau karburator."
mobil,Bau bensin nyengat di kabin,Selang bensin bocor,"Buka kap mesin, cek selang bensin, apa ada yang basah atau bocor? Kalau iya, ganti selangnya.","Pastikan klem selang kencang, kalau longgar, kencangkan atau ganti.","Kalau bau nggak hilang, cek tangki bensin atau ventilasinya, mungkin ada masalah."
mobil,Mesin berisik aneh,Belt udah aus,"Lihat belt di mesin, apa retak atau longgar? Ganti kalau udah parah.","Cek tensioner belt, apa masih kencang? Atur ulang kalau kendur.","Kalau suara nggak hilang, periksa pulley atau bagian mesin lain, bawa ke bengkel."
mobil,Sulit belok,Power steering error,"Cek cairan power steering di tabung, apa kurang? Tambah kalau perlu.","Lihat pompa power steering, apa bunyi aneh atau mati? Ganti kalau rusak.","Kalau masih susah belok, bawa ke bengkel buat cek rack steering."
motor,Susah nyala pas distarter,Busi kotor,"Buka busi, bersihkan pakai sikat kawat. Lihat apa ada kerak hitam di ujungnya.","Kalau busi udah hitam banget atau aus, ganti sama yang baru.","Masih susah? Cek sistem pengapian, mungkin koil atau CDI-nya bermasalah."
motor,Rantai berisik banget,Rantai longgar,"Coba kencangkan rantai pakai kunci, sesuaikan sama buku manual motor.","Olesi rantai sama pelumas khusus, biar licin dan nggak berisik.","Kalau masih bunyi, lihat sprocket-nya, apa udah aus? Ganti kalau iya."
motor,Lampu depan lelet nyalanya,Aki drop,"Cek aki, apa tegangannya lemah? Charge dulu pakai charger.","Bersihkan terminal aki, kadang karat bikin listrik nggak lancar.","Kalau aki nggak bisa dicas, ganti aja sama yang baru."
motor,Rem kurang ngegigit,Kampas rem habis,"Lihat kampas rem, apa udah tipis? Ganti kalau udah abis.","Cek cakram sama kampas, apa kotor atau berminyak? Bersihkan pakai sabun.","Kalau masih kurang pakem, cek selang rem atau master rem-nya."
motor,Motor goyang-goyang,Ban nggak rata,"Cek tekanan ban, apa pas? Tambah atau kurangi anginnya.","Bawa ke bengkel buat balancing ban biar nggak goyang lagi.","Kalau masih goyang, lihat ban-nya, apa udah gundul? Ganti yang baru."
motor,Bensin boros banget,Karburator bocor,"Cek karburator, apa ada bensin netes? Bersihkan atau ganti seal-nya.","Atur ulang karburator biar campuran bensin sama udara pas.","Kalau tetap boros, cek filter udara atau injeksi-nya."
motor,Knalpot bunyi gede,Knalpot bolong,"Lihat knalpot, apa ada lobang? Tambal sementara atau ganti.","Cek dalamnya, apa ada sumbatan? Bersihkan kalau kotor.","Kalau bunyi nggak normal, cek gasket knalpot atau header-nya."
motor,Mati sendiri pas berhenti,Idle kurang,"Putar setelan idle di karburator, biar RPM stabil pas diam.","Cek intake, apa ada udara bocor? Perbaiki kalau ada.","Kalau masih mati, bawa ke bengkel buat cek sensor atau ECU."
motor,Ban cepet habis,Roda nggak lurus,"Cek roda, apa bengkok atau nggak lurus? Atur alignment-nya.","Pastikan ban dipasang bener, lihat apa ada cacat.","Kalau ban tetap cepet aus, ganti ban sama cek peleknya."
motor,Kopling licin,Plat kopling aus,"Atur kabel kopling, jangan terlalu kencang atau longgar.","Cek plat kopling, apa udah tipis? Ganti kalau aus.","Kalau masih licin, periksa basket kopling, mungkin perlu diganti."
mobil,Mobil mogok pas hujan,Kabel busi basah,"Buka kap mesin, keringkan kabel busi pake lap kering. Pastikan nggak ada air masuk.","Semprot kabel busi sama water repellent biar tahan air.","Kalau masih mogok, ganti kabel busi yang udah rusak."
