VehicleType,Brand,Year,Mileage,Complaint,DamageLevel,ServiceType,Price,FirstAidSolution
Car,Suzuki,2020,62385,Oli bocor,Low,Oil Change,241006,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Motorcycle,Kawasaki,2009,30677,Oli bocor,Medium,Oil Change,400116,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Car,Honda,2018,69984,Ban bocor,Low,Tire Service,115206,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Motorcycle,Honda,2021,148584,Radiator bocor,Medium,Cooling System Repair,363701,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Car,Nissan,2023,27836,Kopling slip,Low,Transmission Repair,172572,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Motorcycle,Honda,2018,199418,Kopling slip,High,Transmission Repair,899857,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Motorcycle,Kawasaki,2015,136522,Ban bocor,High,Tire Service,642762,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Motorcycle,Yamaha,2021,157014,Service rutin,Medium,General Checkup,448009,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Car,Daihatsu,2012,145357,Oli bocor,High,Oil Change,818679,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Motorcycle,Yamaha,2023,128961,Starter tidak berfungsi,High,Electrical Repair,843802,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Car,Mitsubishi,2023,174451,Stir berat,High,Power Steering Repair,679424,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Car,Nissan,2008,12067,Ban bocor,Low,Tire Service,234217,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Car,Suzuki,2005,188412,Oli bocor,Low,Oil Change,113752,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Motorcycle,Yamaha,2013,12904,Gigi transmisi macet,High,Transmission Repair,805772,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Car,Daihatsu,2016,148667,Gigi transmisi macet,Low,Transmission Repair,109176,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Motorcycle,Suzuki,2017,109187,Oli bocor,Medium,Oil Change,557859,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Car,Honda,2009,102982,Oli bocor,Medium,Oil Change,413789,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Car,Nissan,2020,62461,AC tidak dingin,Medium,AC Repair,495038,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Motorcycle,Kawasaki,2009,130073,Ban bocor,Low,Tire Service,235013,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Motorcycle,Suzuki,2006,155727,Suspensi keras,High,Suspension Repair,869238,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Motorcycle,Suzuki,2018,142373,Baterai soak,Low,Battery Replacement,231952,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Car,Toyota,2020,193615,Baterai soak,Low,Battery Replacement,201500,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Car,Honda,2012,152656,Lampu mati,Medium,Electrical Repair,470417,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Motorcycle,Yamaha,2022,185707,Service rutin,Medium,General Checkup,387304,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Car,Nissan,2010,46646,Lampu mati,Low,Electrical Repair,142023,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Car,Honda,2005,60174,Radiator bocor,High,Cooling System Repair,948336,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Car,Suzuki,2019,129251,Stir berat,Medium,Power Steering Repair,381056,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Motorcycle,Suzuki,2014,162384,Gigi transmisi macet,Medium,Transmission Repair,403796,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Motorcycle,Kawasaki,2017,104710,Ban bocor,Low,Tire Service,240640,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Motorcycle,Kawasaki,2014,170723,Baterai soak,Low,Battery Replacement,139293,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Motorcycle,Kawasaki,2007,30355,Radiator bocor,High,Cooling System Repair,612980,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Motorcycle,Honda,2006,142426,Rem bunyi,Medium,Brake Service,541046,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
