anchor,positive,negative
"Kapan saya harus servis mobil saya?","Berapa kilometer sekali mobil butuh servis?","Apa fungsi filter udara pada mobil?"
"Apa yang dicek saat servis rutin motor?","Apa saja yang diperiksa saat servis motor rutin?","Berapa biaya ganti oli motor?"
"Mohon informasikan jadwal servis rutin untuk kendaraan saya.","Tolong beritahu kapan servis rutin mobil saya.","Apa itu timing belt pada mobil?"
"Kapan ya mobil gue butuh servis?","Gue kudu servis mobil kapan nih?","Kenapa mesin motor bunyi ketuk-ketuk?"
"Mobilku iki arep diservis kapan ya?","Kapan mobil saya perlu servis?","Apa penyebab AC mobil ga dingin?"
"Apa tanda-tanda motor butuh servis segera?","Apa ciri-ciri motor harus segera diservis?","Berapa harga ban motor tubeless?"
"Bagaimana cara merawat mobil agar awet?","Gimana sih merawat mobil supaya tahan lama?","Apa itu sistem ABS pada mobil?"
"Apa yang harus dilakukan jika mobil mogok?","Kalau mobil mogok, langkah apa yang harus diambil?","Berapa biaya servis injeksi motor?"
"Kapan waktu yang tepat untuk ganti oli mesin?","Berapa lama sekali ganti oli mesin mobil?","Apa fungsi shockbreaker pada motor?"
"Apa saja yang diganti saat servis besar motor?","Saat servis besar motor, apa yang biasanya diganti?","Kenapa lampu sein mobil ga nyala?"
"Bagaimana cara mengetahui jadwal servis mobil?","Gimana cara cek jadwal servis mobil saya?","Apa penyebab motor susah distarter?"
"Apa yang harus diperiksa sebelum perjalanan jauh?","Sebelum road trip, apa yang harus dicek di mobil?","Berapa harga kampas rem mobil?"
"Kapan motor harus diservis setelah beli baru?","Setelah beli motor baru, kapan servis pertamanya?","Apa itu catalytic converter pada mobil?"
"Apa yang dicek saat servis AC mobil?","Saat servis AC mobil, apa yang diperiksa?","Kenapa ban motor kempes terus?"
"Bagaimana cara merawat aki mobil?","Gimana sih cara jaga aki mobil biar awet?","Apa penyebab mesin mobil overheat?"
"Apa yang harus dilakukan jika rem motor blong?","Kalau rem motor ga pakem, apa yang harus saya lakukan?","Berapa biaya ganti aki motor?"
"Kapan waktu yang tepat untuk ganti kampas rem?","Berapa lama sekali ganti kampas rem mobil?","Apa fungsi alternator pada mobil?"
"Apa saja yang termasuk dalam servis rutin mobil?","Dalam servis rutin mobil, apa yang biasanya dilakukan?","Kenapa motor bunyi aneh dari mesin?"
"Bagaimana cara menjaga performa mesin motor?","Gimana caranya biar mesin motor tetap prima?","Apa penyebab lampu dashboard mobil nyala?"
"Apa yang harus dicek saat servis rem mobil?","Saat servis rem mobil, apa yang diperiksa?","Berapa harga oli mesin motor?"
"Kapan saya harus ganti filter udara mobil?","Berapa kilometer sekali filter udara mobil diganti?","Apa itu sistem CVT pada motor?"
"Apa yang harus dilakukan jika mobil bunyi aneh?","Kalau mobil ada suara aneh, apa yang harus saya lakukan?","Kenapa AC mobil ga dingin pas macet?"
"Bagaimana cara merawat ban mobil agar tahan lama?","Gimana sih merawat ban mobil biar awet?","Apa penyebab motor mati mendadak?"
"Apa yang dicek saat servis suspensi motor?","Saat servis suspensi motor, apa yang diperiksa?","Berapa biaya servis radiator mobil?"
"Kapan waktu yang tepat untuk servis transmisi mobil?","Berapa lama sekali servis transmisi mobil?","Apa fungsi throttle body pada mobil?"
"Apa yang harus dilakukan jika motor susah distarter?","Kalau motor susah nyala, apa yang harus saya periksa?","Kenapa ban mobil bunyi decit pas belok?"
"Bagaimana cara mengetahui oli mesin mobil kurang?","Gimana cara cek level oli mesin mobil?","Apa penyebab rem motor bunyi cit-cit?"
"Apa yang termasuk dalam servis berkala motor?","Dalam servis berkala motor, apa yang biasanya dilakukan?","Berapa harga filter oli mobil?"
"Kapan saya harus ganti busi motor?","Berapa kilometer sekali busi motor diganti?","Apa itu torque converter pada mobil?"
"Apa yang harus dicek saat servis rutin mobil diesel?","Saat servis rutin mobil diesel, apa yang diperiksa?","Kenapa mesin motor bunyi ngiung?"
"Bagaimana cara merawat rantai motor?","Gimana caranya merawat rantai motor biar awet?","Apa penyebab AC mobil bau apek?"
"Apa yang harus dilakukan jika mobil geter saat idle?","Kalau mobil bergetar pas diam, apa yang harus saya lakukan?","Berapa biaya ganti kampas kopling motor?"
"Kapan waktu yang tepat untuk ganti filter bensin?","Berapa lama sekali filter bensin mobil diganti?","Apa fungsi sensor O2 pada mobil?"
"Apa yang dicek saat servis karburator motor?","Saat servis karburator motor, apa yang diperiksa?","Kenapa lampu rem motor ga nyala?"
"Bagaimana cara menjaga sistem pendingin mobil?","Gimana sih cara merawat radiator mobil?","Apa penyebab motor bunyi kletak dari rantai?"
"Apa yang harus dilakukan jika aki motor soak?","Kalau aki motor lemah, apa yang harus saya lakukan?","Berapa harga ban motor ukuran 17?"
"Kapan saya harus servis injeksi motor?","Berapa kilometer sekali servis injeksi motor?","Apa itu sistem pengereman ABS?"
"Apa yang termasuk dalam servis besar mobil?","Dalam servis besar mobil, apa yang biasanya dilakukan?","Kenapa mesin mobil bunyi tik-tik?"
"Bagaimana cara merawat sistem kelistrikan motor?","Gimana caranya merawat kelistrikan motor?","Apa penyebab ban mobil aus sebelah?"
"Apa yang harus dicek saat servis rutin motor matic?","Saat servis rutin motor matic, apa yang diperiksa?","Berapa biaya servis AC mobil?"
"Kapan waktu yang tepat untuk ganti oli gardan motor?","Berapa lama sekali ganti oli gardan motor?","Apa fungsi differential pada mobil?"
"Apa yang harus dilakukan jika mobil tarik ke kiri?","Kalau mobil tarik ke kiri, apa yang harus saya periksa?","Kenapa motor susah masuk gigi?"
"Bagaimana cara mengetahui jadwal servis motor?","Gimana cara cek jadwal servis motor saya?","Apa penyebab lampu dashboard motor nyala?"
"Apa yang dicek saat servis power steering mobil?","Saat servis power steering mobil, apa yang diperiksa?","Berapa harga oli transmisi mobil?"
"Kapan saya harus ganti filter oli mobil?","Berapa kilometer sekali filter oli mobil diganti?","Apa itu timing chain pada motor?"
"Apa yang harus dilakukan jika motor bunyi aneh dari rem?","Kalau rem motor bunyi aneh, apa yang harus saya lakukan?","Kenapa AC mobil ga dingin pas siang?"
"Bagaimana cara merawat sistem pengereman mobil?","Gimana sih cara jaga rem mobil biar pakem?","Apa penyebab mesin motor mati pas langsam?"
"Apa yang termasuk dalam servis rutin motor bebek?","Dalam servis rutin motor bebek, apa yang biasanya dilakukan?","Berapa biaya ganti ban motor?"
"Kapan waktu yang tepat untuk servis AC mobil?","Berapa lama sekali servis AC mobil?","Apa fungsi catalytic converter pada motor?"
"Apa yang harus dicek saat servis rutin mobil bensin?","Saat servis rutin mobil bensin, apa yang diperiksa?","Kenapa ban motor geter pas ngebut?"
"Bagaimana cara menjaga performa AC mobil?","Gimana caranya biar AC mobil tetap dingin?","Apa penyebab mobil bunyi kletuk dari mesin?"
"Apa yang harus dilakukan jika lampu check engine nyala?","Kalau lampu check engine mobil nyala, apa yang harus saya lakukan?","Berapa harga kampas rem motor?"
"Kapan saya harus ganti kampas kopling motor?","Berapa kilometer sekali kampas kopling motor diganti?","Apa itu sistem transmisi otomatis?"
"Apa yang dicek saat servis rutin motor sport?","Saat servis rutin motor sport, apa yang diperiksa?","Kenapa mesin mobil bunyi ngorok?"
"Bagaimana cara merawat sistem injeksi motor?","Gimana sih cara merawat injeksi motor?","Apa penyebab rem mobil bunyi krek?"
"Apa yang harus dilakukan jika mobil susah distarter?","Kalau mobil susah nyala, apa yang harus saya periksa?","Berapa biaya servis suspensi motor?"
"Kapan waktu yang tepat untuk ganti filter kabin mobil?","Berapa lama sekali filter kabin mobil diganti?","Apa fungsi sensor MAF pada mobil?"
"Apa yang termasuk dalam servis berkala mobil?","Dalam servis berkala mobil, apa yang biasanya dilakukan?","Kenapa motor bunyi klotok dari knalpot?"
"Bagaimana cara mengetahui oli transmisi mobil kurang?","Gimana cara cek level oli transmisi mobil?","Apa penyebab AC mobil bunyi berderit?"
"Apa yang harus dicek saat servis rutin motor injeksi?","Saat servis rutin motor injeksi, apa yang diperiksa?","Berapa harga oli power steering?"
"Kapan saya harus servis rem mobil?","Berapa kilometer sekali servis rem mobil?","Apa itu sistem pengapian CDI?"
"Apa yang harus dilakukan jika motor overheat?","Kalau motor panas banget, apa yang harus saya lakukan?","Kenapa ban mobil bunyi gluduk pas lubang?"
"Bagaimana cara merawat sistem suspensi mobil?","Gimana caranya merawat suspensi mobil?","Apa penyebab lampu motor redup?"
"Apa yang dicek saat servis rutin mobil hybrid?","Saat servis rutin mobil hybrid, apa yang diperiksa?","Berapa biaya ganti filter udara motor?"
"Kapan waktu yang tepat untuk ganti oli mesin motor?","Berapa lama sekali ganti oli mesin motor?","Apa fungsi throttle position sensor?"
"Apa yang harus dilakukan jika mobil bunyi berdecit dari rem?","Kalau rem mobil bunyi decit, apa yang harus saya lakukan?","Kenapa mesin motor bunyi krek pas start?"
"Bagaimana cara menjaga sistem kelistrikan mobil?","Gimana sih cara merawat kelistrikan mobil?","Apa penyebab motor susah nyala pas hujan?"
"Apa yang termasuk dalam servis besar motor?","Dalam servis besar motor, apa yang biasanya dilakukan?","Berapa harga ban mobil ukuran 18?"
"Kapan saya harus ganti timing belt mobil?","Berapa kilometer sekali timing belt mobil diganti?","Apa itu sistem pengereman EBD?"
"Apa yang harus dicek saat servis rutin motor karburator?","Saat servis rutin motor karburator, apa yang diperiksa?","Kenapa AC mobil ga nyala sama sekali?"
