intent,text
cancel_booking,Saya mau batalkan booking servis mobil saya besok.
cancel_booking,Bisa tolong batalkan pesanan bengkel untuk motor saya?
cancel_booking,Mohon batalin jadwal servis mobil saya minggu ini.
cancel_booking,Saya ingin membatalkan booking untuk perbaikan motor.
cancel_booking,Tolong batalkan reservasi bengkel saya hari Jumat.
cancel_booking,Apa bisa batalkan booking servis mobil saya di hari Sabtu?
cancel_booking,Saya ga jadi servis motor, tolong batalkan pesanannya.
cancel_booking,Mohon dibatalkan booking saya untuk cek mobil besok.
cancel_booking,Bisa bantu batalkan jadwal bengkel untuk motor saya?
cancel_booking,Saya mau cancel booking servis mobil hari ini.
cancel_booking,Tolong hapus pesanan bengkel saya untuk minggu depan.
cancel_booking,Apa bisa batalin reservasi servis motor saya besok?
cancel_booking,Saya ingin batalkan booking untuk tune-up mobil.
cancel_booking,Mohon batalkan jadwal saya untuk servis motor hari ini.
cancel_booking,Tolong cancel booking bengkel saya di hari Senin.
cancel_booking,Saya ga bisa datang, tolong batalkan booking mobil saya.
cancel_booking,Bisa tolong hapus pesanan servis motor saya minggu ini?
cancel_booking,Mohon batalin booking saya untuk perbaikan mobil besok.
cancel_booking,Saya mau batalkan reservasi bengkel untuk motor.
cancel_booking,Tolong batalkan jadwal servis mobil saya hari Kamis.
cancel_booking,Apa bisa cancel booking untuk cek motor hari ini?
cancel_booking,Saya ingin membatalkan pesanan bengkel untuk mobil.
cancel_booking,Mohon hapus booking servis motor saya besok.
cancel_booking,Tolong batalkan reservasi saya untuk servis mobil.
cancel_booking,Saya ga jadi ke bengkel, tolong cancel bookingnya.
cancel_booking,Bisa bantu batalkan jadwal perbaikan motor saya?
cancel_booking,Saya mau batalin booking untuk servis mobil minggu ini.
cancel_booking,Tolong hapus pesanan bengkel saya untuk hari Sabtu.
cancel_booking,Mohon batalkan reservasi servis motor saya hari ini.
cancel_booking,Apa bisa batalkan booking untuk mobil besok sore?
cancel_booking,Saya ingin cancel jadwal bengkel untuk motor.
cancel_booking,Tolong batalkan booking saya untuk perbaikan mobil.
cancel_booking,Saya ga bisa datang, tolong hapus booking servis motor.
cancel_booking,Bisa tolong batalkan pesanan bengkel untuk mobil saya?
cancel_booking,Mohon batalin jadwal servis mobil saya di hari Jumat.
cancel_booking,Saya mau batalkan booking untuk tune-up motor.
cancel_booking,Tolong cancel reservasi bengkel saya minggu depan.
cancel_booking,Apa bisa hapus booking servis mobil saya hari ini?
cancel_booking,Saya ingin membatalkan jadwal perbaikan motor besok.
cancel_booking,Mohon batalkan pesanan bengkel untuk mobil saya.
cancel_booking,Tolong batalkan booking servis motor di hari Senin.
cancel_booking,Saya ga jadi servis, tolong cancel booking mobil saya.
cancel_booking,Bisa bantu hapus reservasi bengkel untuk motor?
cancel_booking,Saya mau cancel jadwal servis mobil hari Rabu.
cancel_booking,Tolong batalkan booking saya untuk cek motor besok.
cancel_booking,Mohon hapus pesanan servis mobil saya minggu ini.
cancel_booking,Apa bisa batalkan reservasi bengkel untuk mobil?
cancel_booking,Saya ingin batalkan booking servis motor hari ini.
