text,intent
"halo bro, apa kabar?",greeting
"selamat pagi, siap bantu!",greeting
"hai, kendaraanmu baik-baik saja?",greeting
"apa kabar, mekanik favoritmu di sini!",greeting
"selamat malam, ada yang rusak?",greeting
"pagi bro, motornya sehat?",greeting
"siang, apa kabar roda duamu?",greeting
"sore, mobilmu oke?",greeting
"malam, butuh bantuan bengkel?",greeting
"hallo, apa kabar mesinnya?",greeting
"helo, apa kabar banmu?",greeting
"hey, kendaraanmu butuh cek?",greeting
"assalamualaikum, apa kabar kawan?",greeting
selamat datang di bengkel virtual!,greeting
"apa kabar hari ini, bro?",greeting
"halo, senang ketemu lagi!",greeting
"hai, apa kabar oli mesinmu?",greeting
"selamat siang, apa kabar remnya?",greeting
"selamat sore, apa kabar suspensinya?",greeting
"selamat tidur, eh, maksudnya selamat malam!",greeting
"apa kabar, temen setia bengkel?",greeting
"bagaimana kabarmu, si roda empat?",greeting
semoga harimu mulus seperti ban baru!,greeting
"halo, apa kabar karburatornya?",greeting
"hai, apa kabar knalpotmu?",greeting
"selamat beraktivitas, kendaraanmu siap?",greeting
"halo, apa kabar rantainya?",greeting
"apa kabar, bro, motornya sehat?",greeting
"selamat pagi, apa kabar koplingnya?",greeting
"hai, apa kabar setirmu?",greeting
"selamat malam, apa kabar akimu?",greeting
"halo, apa kabar bensinnya?",greeting
"hai, apa kabar radiatornya?",greeting
"apa kabar, bro, mesinnya oke?",greeting
"selamat siang, apa kabar shocknya?",greeting
"halo, apa kabar bearingnya?",greeting
"hai, apa kabar transmisinya?",greeting
"selamat sore, apa kabar businya?",greeting
"halo, apa kabar velgnya?",greeting
"apa kabar, bro, banmu kempes?",greeting
"selamat pagi, apa kabar kampas remnya?",greeting
"hai, apa kabar lampunya?",greeting
"selamat malam, apa kabar dinamo?",greeting
"halo, apa kabar klaksonnya?",greeting
"hai, apa kabar spionnya?",greeting
"apa kabar, bro, oli mesinnya kering?",greeting
"selamat siang, apa kabar karbunya?",greeting
"halo, apa kabar filter udaranya?",greeting
"hai, apa kabar injeksinya?",greeting
"selamat sore, apa kabar pompa bensinnya?",greeting
"saya mau servis motor sekarang, bisa?",service_booking
bisa booking servis mobil untuk besok pagi?,service_booking
jadwalkan servis motor buat hari Sabtu!,service_booking
bisa pesan slot perbaikan mobil sore ini?,service_booking
saya ingin cek mobilku yang bunyi aneh,service_booking
"mau servis motor, kapan ada waktu?",service_booking
booking servis mobil untuk hari Jumat,service_booking
pesan jadwal servis rutin besok!,service_booking
"servis motor mendesak, bisa sekarang?",service_booking
"perbaikan mobil cepat, ada slot hari ini?",service_booking
saya butuh servis motor sebelum weekend,service_booking
bisa atur jadwal servis mobil minggu depan?,service_booking
saya mau booking servis untuk ganti oli,service_booking
ada slot buat servis motor siang ini?,service_booking
saya ingin pesan servis untuk mobil tua saya,service_booking
bisa tolong booking perbaikan rem?,service_booking
"saya butuh servis darurat, motor mogok!",service_booking
saya mau booking buat cek mesin mobil,service_booking
bisa pesan servis motor untuk hari Rabu?,service_booking
saya ingin jadwalin servis rutin mobil,service_booking
ada waktu buat servis motor besok pagi?,service_booking
"saya mau perbaikan ban motor, kapan bisa?",service_booking
booking servis mobil untuk cek AC,service_booking
"saya butuh servis cepat, motor mati total!",service_booking
bisa atur slot buat servis motor sore ini?,service_booking
