vehicle_type,problem_description,diagnosis,first_aid,second_aid,third_aid
mobil,Mesin mobil gak mau nyala,Aki lelet,"Coba sambung aki pake kabel jumper dari mobil lain yang akinya kuat. Pasang kabelnya bener ya, positif ke positif, negatif ke negatif.","Kalau jumper gak mempan, cek air aki. Kalo kurang, tambahin air suling sampe batas yang direkomendasi.","Kalau aki masih gak jalan, mungkin udah soak. Ganti aja sama aki baru."
mobil,Mesin mobil susah hidup,Busi bermasalah,"Buka kap mesin, cabut busi, trus cek apa ada kerak atau kotoran. Kalo kotor, sikat pake sikat kawat biar bersih.","Kalo nyikat gak ngefek, ganti busi pake yang baru. Pastiin busi sesuai sama spesifikasi mobilmu.","Kalau mesin tetep bandel, cek bagian pengapian lain kayak koil atau kabel busi."
mobil,Mesin mobil mati mendadak,Pompa bensin ngadat,"Coba dengerin apa ada suara dari pompa bensin pas kunci kontak diputer. Kalo gak ada bunyi, pompanya mungkin rusak.","Ketuk pelan pompa bensin pake palu karet sambil coba nyalain mesin. Kadang ini bisa nyalain pompa yang macet.","Kalau tetep gak nyala, bawa ke bengkel buat cek dan ganti pompa bensin."
mobil,Mesin mobil kepanasan,Radiator bocor,"Matikan mesin, tunggu dingin. Cek radiator apa ada bocor. Kalo iya, tambal sementara pake lem radiator atau lakban tahan panas.","Kalau bocornya gak bisa ditambal, tambahin air ke radiator buat ngisi yang kurang.","Bawa mobil ke bengkel buat perbaiki atau ganti radiator kalo perlu."
mobil,Mesin mobil overheat,Thermostat macet,"Cek kipas radiator nyala apa enggak pas mesin panas. Kalo gak nyala, thermostat bisa jadi macet.","Lepas thermostat, trus coba rebus di air panas buat tes apa dia buka. Kalo gak buka, ganti thermostat baru.","Kalau masalahnya tetep ada, cek sistem pendingin lain kayak pompa air atau sensor suhu."
mobil,Lampu depan mobil redup,Aki kurang daya,"Cek voltase aki pake multimeter. Kalo di bawah 12.4V, akinya lemah.","Coba charge aki pake charger atau jalanin mobil biar akinya ngisi.","Kalau aki sering drop, ganti aja sama yang baru."
mobil,Lampu depan mobil gak terang,Alternator bermasalah,"Cek lampu dashboard apa ada tanda alternator nyala. Kalo iya, alternatornya mungkin rusak.","Ukur tegangan alternator pake multimeter pas mesin hidup. Harusnya 13.5-14.5V.","Bawa ke bengkel buat cek dan ganti alternator kalo perlu."
motor,Mesin motor susah nyala,Karburator kotor,"Cek karburator apa ada kotoran atau tersumbat. Bersihin pake cairan khusus karburator.","Kalo udah dibersihin tapi tetep susah, cek setelan karburator, trus atur campuran udara sama bensinnya.","Kalau masih bandel, bawa ke bengkel buat cek lebih detail."
motor,Mesin motor gak mau hidup,Busi udah aus,"Cabut busi, trus cek kondisinya. Kalo elektrodanya aus atau kotor, bersihin atau ganti busi.","Pastikan celah busi pas sama spesifikasi. Atur kalo perlu.","Kalau busi baru tapi tetep gak nyala, cek sistem pengapian lain."
motor,Rantai motor berisik,Rantai kendor,"Cek kekencangan rantai. Kalo kendor banget, kencengin pake tensioner rantai.","Kalau masih berisik, cek gigi sprocket apa ada yang aus. Ganti kalo udah rusak.","Kalo rantai sama sprocket oke, kasih pelumas rantai khusus."
mobil,AC mobil gak dingin,Gas freon abis,"Cek tekanan freon pake manifold gauge. Kalo rendah, tambahin freon sesuai spesifikasi mobil.","Kalau freon cepet abis, cek apa ada bocor di sistem AC. Tambal kalo ketemu.","Bawa ke bengkel AC buat cek dan perbaikan lebih lanjut."
