intent,text
ask_service_price,Berapa biaya servis rutin untuk mobil di bengkel ini?
ask_service_price,Apa harga ganti oli motor di tempat kalian?
ask_service_price,Bisa kasih tau biaya cek rem mobil berapa?
ask_service_price,Harga servis mesin motor berapa ya?
ask_service_price,Berapa ongkos untuk ganti ban mobil di bengkel ini?
ask_service_price,Apa biaya servis rutin motor di sini?
ask_service_price,Tolong info harga ganti oli mobil berapa?
ask_service_price,Cek mesin mobil harganya berapa di bengkel kalian?
ask_service_price,Berapa biaya untuk servis rem motor?
ask_service_price,Harga ganti ban motor di tempat ini berapa?
ask_service_price,Bisa kasih tau ongkos servis rutin mobil berapa?
ask_service_price,Apa harga cek mesin motor di bengkel ini?
ask_service_price,Berapa biaya ganti oli motor di sini?
ask_service_price,Tolong kasih tau harga servis rem mobil berapa?
ask_service_price,Harga untuk cek ban mobil berapa ya?
ask_service_price,Berapa ongkos servis rutin motor di tempat kalian?
ask_service_price,Apa biaya ganti oli mobil di bengkel ini?
ask_service_price,Harga cek mesin mobil berapa di sini?
ask_service_price,Berapa biaya untuk servis rem motor di tempat ini?
ask_service_price,Tolong info harga ganti ban motor berapa?
ask_service_price,Bisa kasih tau ongkos servis rutin mobil di bengkel kalian?
ask_service_price,Apa harga cek mesin motor di tempat ini?
ask_service_price,Berapa biaya ganti oli motor di bengkel kalian?
ask_service_price,Harga servis rem mobil berapa ya?
ask_service_price,Berapa ongkos untuk cek ban mobil di sini?
ask_service_price,Apa biaya servis rutin motor di bengkel ini?
ask_service_price,Tolong kasih tau harga ganti oli mobil berapa?
ask_service_price,Harga cek mesin mobil di tempat ini berapa?
ask_service_price,Berapa biaya servis rem motor di bengkel kalian?
ask_service_price,Apa harga untuk ganti ban motor di sini?
ask_service_price,Bisa kasih tau biaya servis rutin mobil berapa?
ask_service_price,Harga cek mesin motor berapa di bengkel ini?
ask_service_price,Berapa ongkos ganti oli motor di tempat kalian?
ask_service_price,Tolong info harga servis rem mobil berapa?
ask_service_price,Apa biaya cek ban mobil di bengkel ini?
ask_service_price,Berapa harga servis rutin motor di sini?
ask_service_price,Harga ganti oli mobil berapa ya?
ask_service_price,Bisa kasih tau biaya cek mesin mobil berapa?
ask_service_price,Berapa ongkos servis rem motor di bengkel ini?
ask_service_price,Apa harga ganti ban motor di tempat kalian?
ask_service_price,Tolong kasih tau biaya servis rutin mobil di sini?
ask_service_price,Harga cek mesin motor berapa di bengkel kalian?
ask_service_price,Berapa biaya ganti oli motor di tempat ini?
ask_service_price,Apa ongkos servis rem mobil di bengkel ini?
ask_service_price,Harga untuk cek ban mobil berapa ya?
ask_service_price,Bisa kasih tau harga servis rutin motor berapa?
ask_service_price,Berapa biaya ganti oli mobil di bengkel kalian?
ask_service_price,Harga cek mesin mobil berapa di tempat ini?
ask_service_price,Tolong info biaya servis rem motor berapa?
ask_service_price,Apa harga ganti ban motor di bengkel ini?
ask_service_price,Berapa ongkos servis rutin mobil di sini?
ask_service_price,Harga cek mesin motor berapa ya?
ask_service_price,Bisa kasih tau biaya ganti oli motor di tempat kalian?
ask_service_price,Apa harga servis rem mobil di bengkel ini?
ask_service_price,Berapa biaya untuk cek ban mobil di sini?
ask_service_price,Tolong kasih tau harga servis rutin motor berapa?
ask_service_price,Harga ganti oli mobil di bengkel ini berapa?
ask_service_price,Berapa ongkos cek mesin mobil di tempat kalian?
ask_service_price,Apa biaya servis rem motor di bengkel ini?
ask_service_price,Harga ganti ban motor berapa di sini?
ask_service_price,Bisa kasih tau ongkos servis rutin mobil berapa?
ask_service_price,Berapa harga cek mesin motor di bengkel kalian?
ask_service_price,Tolong info biaya ganti oli motor berapa?
ask_service_price,Apa harga servis rem mobil di tempat ini?
ask_service_price,Berapa biaya cek ban mobil di bengkel ini?
ask_service_price,Harga servis rutin motor berapa ya?
ask_service_price,Bisa kasih tau biaya ganti oli mobil di sini?
ask_service_price,Berapa ongkos cek mesin mobil di bengkel kalian?
ask_service_price,Apa harga servis rem motor di tempat ini?
ask_service_price,Tolong kasih tau biaya ganti ban motor berapa?
ask_service_price,Harga servis rutin mobil berapa di bengkel ini?
ask_service_price,Berapa biaya cek mesin motor di sini?
ask_service_price,Apa ongkos ganti oli motor di bengkel kalian?
ask_service_price,Harga servis rem mobil berapa ya?
ask_service_price,Bisa kasih tau biaya cek ban mobil di tempat ini?
ask_service_price,Berapa harga servis rutin motor di bengkel ini?
ask_service_price,Tolong info harga ganti oli mobil berapa?
ask_service_price,Apa biaya cek mesin mobil di sini?
ask_service_price,Berapa ongkos servis rem motor di bengkel kalian?
ask_service_price,Harga ganti ban motor berapa di tempat ini?
ask_service_price,Bisa kasih tau biaya servis rutin mobil di sini?
ask_service_price,Apa harga cek mesin motor di bengkel ini?
ask_service_price,Berapa biaya ganti oli motor di tempat kalian?
ask_service_price,Tolong kasih tau harga servis rem mobil berapa?
ask_service_price,Harga cek ban mobil berapa ya?
ask_service_price,Berapa ongkos servis rutin motor di bengkel ini?
ask_service_price,Apa harga ganti oli mobil di tempat ini?
ask_service_price,Bisa kasih tau biaya cek mesin mobil berapa?
ask_service_price,Berapa biaya servis rem motor di sini?
ask_service_price,Harga ganti ban motor berapa di bengkel kalian?
ask_service_price,Tolong info harga servis rutin mobil berapa?
ask_service_price,Apa ongkos cek mesin motor di tempat ini?
ask_service_price,Berapa harga ganti oli motor di bengkel ini?
ask_service_price,Harga servis rem mobil berapa di sini?
ask_service_price,Bisa kasih tau biaya cek ban mobil berapa?
ask_service_price,Apa harga servis rutin motor di bengkel kalian?
ask_service_price,Berapa ongkos ganti oli mobil di tempat ini?
ask_service_price,Tolong kasih tau harga cek mesin mobil berapa?
ask_service_price,Harga servis rem motor berapa ya?
ask_service_price,Berapa biaya ganti ban motor di bengkel ini?
ask_service_price,Apa ongkos servis rutin mobil di sini?
ask_service_price,Bisa kasih tau harga cek mesin motor berapa?
ask_service_price,Berapa biaya ganti oli motor di tempat kalian?
ask_service_price,Harga servis rem mobil berapa di bengkel ini?
ask_service_price,Tolong info biaya cek ban mobil berapa?
ask_service_price,Apa harga servis rutin motor di tempat ini?
ask_service_price,Berapa ongkos ganti oli mobil di bengkel kalian?
ask_service_price,Harga cek mesin mobil berapa ya?
ask_service_price,Bisa kasih tau biaya servis rem motor berapa?
ask_service_price,Apa harga ganti ban motor di sini?
ask_service_price,Berapa biaya servis rutin mobil di bengkel ini?
ask_service_price,Tolong kasih tau harga cek mesin motor berapa?
ask_service_price,Harga ganti oli motor berapa di tempat ini?
ask_service_price,Apa ongkos servis rem mobil di bengkel kalian?
ask_service_price,Berapa biaya cek ban mobil di sini?
ask_service_price,Harga servis rutin motor berapa di bengkel ini?
ask_service_price,Bisa kasih tau ongkos ganti oli mobil berapa?
ask_service_price,Apa harga cek mesin mobil di tempat kalian?
ask_service_price,Berapa biaya servis rem motor di bengkel ini?
ask_service_price,Tolong info harga ganti ban motor berapa?
ask_service_price,Harga servis rutin mobil berapa ya?
ask_service_price,Berapa ongkos cek mesin motor di sini?
ask_service_price,Apa harga ganti oli motor di bengkel kalian?
