anchor,positive,negative
"Halo, apa kabar kamu hari ini?","Hai, kabar kamu gimana nih?","Makanan apa yang paling genit?"
"Ada rekomendasi film seru ga?","Film apa yang asik ditonton?","Cuaca hari ini panas banget ya?"
"Tebak-tebakan apa yang lucu?","Punya tebak-tebakan yang bikin ketawa ga?","Hobi kamu ngapain aja sih?"
"Apa kabar bro, lama ga ngobrol?","Yo bro, kabar lo apa?","Makan apa enak buat malam ini?"
"Cuaca hari ini kayak apa ya?","Hari ini cuacanya gimana?","Ada lagu baru yang hits ga?"
"Punya joke apa yang bikin ngakak?","Ceritain dong lelucon yang lucu!","Kamu suka main game apa?"
"Kamu lagi ngapain sekarang?","Lagi apa sih sekarang?","Makanan khas daerah apa yang enak?"
"Hai, apa rencana kamu weekend ini?","Weekend ini mau ngapain?","Pernah coba masak apa yang susah?"
"Ada ga sih lagu yang lagi ngehits?","Lagu apa yang lagi populer?","Kamu lebih suka teh atau kopi?"
"Main game apa yang seru akhir-akhir ini?","Game apa yang lagi asik dimainin?","Hari ini mood kamu gimana?"
"Kamu suka traveling ke mana?","Tempat liburan favorit kamu apa?","Ada rekomendasi podcast ga?"
"Makan apa yang cocok buat sarapan?","Sarapan apa yang enak hari ini?","Kamu tim kucing atau anjing?"
"Pernah ga sih ketawa sampe sakit perut?","Ada cerita lucu apa yang bikin ngakak?","Olahraga apa yang kamu suka?"
"Kamu tim Netflix atau YouTube?","Lebih suka nonton di Netflix atau YouTube?","Makanan pedas apa yang paling enak?"
"Hari ini mood kamu kayak apa?","Feeling kamu hari ini gimana?","Punya rekomendasi buku ga?"
"Ada ga cerita seru dari kemarin?","Kemarin ada kejadian asik apa?","Kamu suka foto pake kamera apa?"
"Kamu lebih suka laut atau gunung?","Pilih liburan ke pantai atau pegunungan?","Makan malam apa yang lagi pengen?"
"Punya hobi baru apa akhir-akhir ini?","Hobi apa yang lagi kamu tekunin?","Film horor apa yang bikin takut?"
"Apa sih makanan favorit kamu?","Makanan apa yang paling kamu suka?","Kamu pernah ke konser siapa?"
"Kamu suka ngopi di mana?","Tempat ngopi favorit kamu di mana?","Ada aplikasi baru yang seru ga?"
"Halo, udah makan siang belum?","Hai, tadi siang makan apa?","Kamu suka nyanyi lagu apa?"
"Ada ga rekomendasi podcast seru?","Podcast apa yang lagi enak didenger?","Hari ini udah olahraga belum?"
"Kamu suka baca buku apa?","Buku apa yang lagi kamu baca?","Makanan apa yang bikin kangen kampung?"
"Main di pantai atau di mall, mana yang asik?","Lebih suka main di pantai atau mall?","Pernah coba masak makanan apa?"
"Kamu pernah dengar joke apa yang absurd?","Ada lelucon aneh yang lucu ga?","Kamu suka nonton olahraga apa?"
"Hari ini pengen ngapain aja?","Rencana hari ini apa sih?","Makanan apa yang paling susah dilupain?"
"Kamu suka foto pake HP atau kamera?","Lebih suka motret pake HP atau kamera?","Ada film lawas yang bagus ga?"
"Ada ga makanan baru yang kamu coba?","Makanan apa yang baru kamu cobain?","Kamu tim pagi atau malam?"
"Kamu lebih suka teh atau kopi?","Pilih minum teh atau kopi?","Pernah ke tempat wisata apa yang unik?"
"Apa sih lagu yang bikin kamu semangat?","Lagu apa yang bikin mood naik?","Kamu suka masak apa buat keluarga?"
"Kamu suka olahraga apa?","Olahraga favorit kamu apa?","Ada cerita lucu dari temen ga?"
"Pernah ga sih nyanyi karaoke sampe serak?","Kamu pernah karaoke sampe habis suara ga?","Makanan apa yang bikin ngiler?"
"Kamu suka nonton drama Korea apa?","Drama Korea apa yang lagi kamu ikutin?","Hari ini udah minum berapa gelas?"
"Ada ga tempat nongkrong baru yang kece?","Tempat hangout baru apa yang keren?","Kamu suka berenang di mana?"
"Kamu tim kucing atau anjing?","Lebih suka pelihara kucing atau anjing?","Pernah coba makanan apa yang aneh?"
"Apa sih yang bikin kamu ketawa keras?","Hal apa yang bikin kamu ngakak?","Kamu suka main alat musik apa?"
"Kamu suka jalan-jalan ke mana?","Destinasi jalan-jalan favorit kamu apa?","Makanan apa yang cocok buat ngemil?"
"Pernah ga denger lagu yang bikin nostalgia?","Lagu apa yang bikin kangen masa lalu?","Kamu suka nonton film genre apa?"
